group,participant,date,practice.thisTrialN,implicatures.thisTrialN,id,condition,scale_type,scale_term,respSI_RT.rt,respSI_RT.implicature,respSI_RT.corr,lexTALE.thisTrialN,word,status,respLDT.corr,respLDT.rt
learner,R_2CH37kqn6BSeTja,2025-04-23_12h40.18.313,,,,,,,,,,,,,,
learner,R_2CH37kqn6BSeTja,2025-04-23_12h40.18.313,,,,,,,,,,,,,,
learner,R_2CH37kqn6BSeTja,2025-04-23_12h40.18.313,0.0,,b,filler-true,,proche/lointain,10.123299999952316,,1.0,,,,,
learner,R_2CH37kqn6BSeTja,2025-04-23_12h40.18.313,1.0,,c,filler-false,,égoïste/petit,3.41130000007152,,1.0,,,,,
learner,R_2CH37kqn6BSeTja,2025-04-23_12h40.18.313,2.0,,a,test,B,longue/interminable,20.550899999976153,0.0,,,,,,
learner,R_2CH37kqn6BSeTja,2025-04-23_12h40.18.313,,,,,,,,,,,,,,
learner,R_2CH37kqn6BSeTja,2025-04-23_12h40.18.313,,0.0,33,filler-true,,actif/paresseux,11.967100000023848,,0.0,,,,,
learner,R_2CH37kqn6BSeTja,2025-04-23_12h40.18.313,,1.0,36,filler-false,,timide/curieux,9.86510000002383,,1.0,,,,,
learner,R_2CH37kqn6BSeTja,2025-04-23_12h40.18.313,,2.0,44,filler-false,,stupide/inquiet,9.595300000071518,,1.0,,,,,
learner,R_2CH37kqn6BSeTja,2025-04-23_12h40.18.313,,3.0,8,test,B,difficile/impossible,7.498499999999979,1.0,,,,,,
learner,R_2CH37kqn6BSeTja,2025-04-23_12h40.18.313,,4.0,43,filler-false,,poli/pressé,7.675999999999988,,0.0,,,,,
learner,R_2CH37kqn6BSeTja,2025-04-23_12h40.18.313,,5.0,24,filler-true,,sale/propre,2.761100000023816,,0.0,,,,,
learner,R_2CH37kqn6BSeTja,2025-04-23_12h40.18.313,,6.0,11,test,B,vif/éblouissant,4.121400000095377,1.0,,,,,,
learner,R_2CH37kqn6BSeTja,2025-04-23_12h40.18.313,,7.0,31,filler-true,,noir/blanc,1.7849999999999961,,1.0,,,,,
learner,R_2CH37kqn6BSeTja,2025-04-23_12h40.18.313,,8.0,41,filler-false,,doux/fin,3.907700000047668,,1.0,,,,,
