group,participant,date,practice.thisTrialN,implicatures.thisTrialN,id,condition,scale_type,scale_term,respSI_RT.rt,respSI_RT.implicature,respSI_RT.corr,lexTALE.thisTrialN,word,status,respLDT.corr,respLDT.rt
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,,,,,
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,,,,,
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,0.0,,c,filler-false,,égoïste/petit,8.630800000011924,,1.0,,,,,
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,1.0,,a,test,B,longue/interminable,4.581899999976159,0.0,,,,,,
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,2.0,,b,filler-true,,proche/lointain,3.08669999998807,,1.0,,,,,
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,,,,,
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,0.0,13,test,NB,goûteux/délicieux,21.278999999999996,0.0,,,,,,
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,1.0,36,filler-false,,timide/curieux,5.171799999952327,,1.0,,,,,
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,2.0,1,test,B,spéciale/unique,4.257100000023854,0.0,,,,,,
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,3.0,27,filler-true,,léger/lourd,4.134399999976154,,1.0,,,,,
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,4.0,14,test,NB,vieux/ancien,2.688500000000004,0.0,,,,,,
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,5.0,23,filler-true,,lent/rapide,1.856999999999999,,1.0,,,,,
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,6.0,19,test,NB,mignon/beau,2.129200000047689,0.0,,,,,,
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,7.0,7,test,B,triste/abattu,2.737199999988092,0.0,,,,,,
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,8.0,12,test,NB,fatigué/épuisé,2.192599999964244,1.0,,,,,,
