group,participant,date,practice.thisTrialN,implicatures.thisTrialN,id,condition,scale_type,scale_term,respSI_RT.rt,respSI_RT.implicature,respSI_RT.corr,lexTALE.thisTrialN,word,status,respLDT.corr,respLDT.rt
learner,R_2G8VYdQkHUxT6dX,2025-04-23_12h40.25.404,,,,,,,,,,,,,,
learner,R_2G8VYdQkHUxT6dX,2025-04-23_12h40.25.404,,,,,,,,,,,,,,
learner,R_2G8VYdQkHUxT6dX,2025-04-23_12h40.25.404,0.0,,b,filler-true,,proche/lointain,8.09009999990463,,1.0,,,,,
learner,R_2G8VYdQkHUxT6dX,2025-04-23_12h40.25.404,1.0,,c,filler-false,,égoïste/petit,5.84569999980927,,1.0,,,,,
learner,R_2G8VYdQkHUxT6dX,2025-04-23_12h40.25.404,2.0,,a,test,B,longue/interminable,26.958,1.0,,,,,,
learner,R_2G8VYdQkHUxT6dX,2025-04-23_12h40.25.404,,,,,,,,,,,,,,
learner,R_2G8VYdQkHUxT6dX,2025-04-23_12h40.25.404,,0.0,25,filler-true,,pauvre/riche,3.291600000381464,,1.0,,,,,
learner,R_2G8VYdQkHUxT6dX,2025-04-23_12h40.25.404,,1.0,5,test,B,calme/inaudible,11.635599999904628,1.0,,,,,,
learner,R_2G8VYdQkHUxT6dX,2025-04-23_12h40.25.404,,2.0,12,test,NB,fatigué/épuisé,3.744500000000002,0.0,,,,,,
learner,R_2G8VYdQkHUxT6dX,2025-04-23_12h40.25.404,,3.0,9,test,B,bon/parfait,13.278599999904642,1.0,,,,,,
learner,R_2G8VYdQkHUxT6dX,2025-04-23_12h40.25.404,,4.0,18,test,NB,beau/sublime,7.890999999999991,1.0,,,,,,
learner,R_2G8VYdQkHUxT6dX,2025-04-23_12h40.25.404,,5.0,24,filler-true,,sale/propre,5.206699999809274,,0.0,,,,,
learner,R_2G8VYdQkHUxT6dX,2025-04-23_12h40.25.404,,6.0,4,test,B,mémorable/inoubliable,4.763499999999993,0.0,,,,,,
learner,R_2G8VYdQkHUxT6dX,2025-04-23_12h40.25.404,,7.0,20,test,NB,drôle/hilarant,2.820900000095378,1.0,,,,,,
learner,R_2G8VYdQkHUxT6dX,2025-04-23_12h40.25.404,,8.0,1,test,B,spéciale/unique,3.339799999713904,0.0,,,,,,
learner,R_2G8VYdQkHUxT6dX,2025-04-23_12h40.25.404,,9.0,28,filler-true,,petit/grand,5.283599999904624,,1.0,,,,,
learner,R_2G8VYdQkHUxT6dX,2025-04-23_12h40.25.404,,10.0,41,filler-false,,doux/fin,2.393500000000017,,1.0,,,,,
