group,participant,date,practice.thisTrialN,implicatures.thisTrialN,id,condition,scale_type,scale_term,respSI_RT.rt,respSI_RT.implicature,respSI_RT.corr,lexTALE.thisTrialN,word,status,respLDT.corr,respLDT.rt
learner,R_2Gu4Trs0Uw00Zrj,2025-04-23_11h02.41.693,,,,,,,,,,,,,,
learner,R_2Gu4Trs0Uw00Zrj,2025-04-23_11h02.41.693,,,,,,,,,,,,,,
learner,R_2Gu4Trs0Uw00Zrj,2025-04-23_11h02.41.693,0.0,,a,test,B,longue/interminable,13.426000000000002,0.0,,,,,,
learner,R_2Gu4Trs0Uw00Zrj,2025-04-23_11h02.41.693,1.0,,c,filler-false,,égoïste/petit,12.278999999999996,,1.0,,,,,
learner,R_2Gu4Trs0Uw00Zrj,2025-04-23_11h02.41.693,2.0,,b,filler-true,,proche/lointain,7.830999999999989,,1.0,,,,,
learner,R_2Gu4Trs0Uw00Zrj,2025-04-23_11h02.41.693,,,,,,,,,,,,,,
learner,R_2Gu4Trs0Uw00Zrj,2025-04-23_11h02.41.693,,0.0,1,test,B,spéciale/unique,6.562000000000012,0.0,,,,,,
learner,R_2Gu4Trs0Uw00Zrj,2025-04-23_11h02.41.693,,1.0,8,test,B,difficile/impossible,17.22,1.0,,,,,,
learner,R_2Gu4Trs0Uw00Zrj,2025-04-23_11h02.41.693,,2.0,34,filler-false,,large/colorée,4.508999999999986,,1.0,,,,,
learner,R_2Gu4Trs0Uw00Zrj,2025-04-23_11h02.41.693,,3.0,31,filler-true,,noir/blanc,5.261000000000024,,1.0,,,,,
learner,R_2Gu4Trs0Uw00Zrj,2025-04-23_11h02.41.693,,4.0,17,test,NB,a faim/affamé,25.047000000000025,0.0,,,,,,
learner,R_2Gu4Trs0Uw00Zrj,2025-04-23_11h02.41.693,,5.0,42,filler-false,,jeune/sérieux,6.240000000000009,,1.0,,,,,
learner,R_2Gu4Trs0Uw00Zrj,2025-04-23_11h02.41.693,,6.0,27,filler-true,,léger/lourd,5.362999999999999,,1.0,,,,,
learner,R_2Gu4Trs0Uw00Zrj,2025-04-23_11h02.41.693,,7.0,24,filler-true,,sale/propre,10.584000000000003,,1.0,,,,,
learner,R_2Gu4Trs0Uw00Zrj,2025-04-23_11h02.41.693,,8.0,26,filler-true,,superficiel/profond,4.807999999999993,,1.0,,,,,
learner,R_2Gu4Trs0Uw00Zrj,2025-04-23_11h02.41.693,,9.0,28,filler-true,,petit/grand,2.42900000000003,,1.0,,,,,
learner,R_2Gu4Trs0Uw00Zrj,2025-04-23_11h02.41.693,,10.0,5,test,B,calme/inaudible,20.692000000000007,0.0,,,,,,
learner,R_2Gu4Trs0Uw00Zrj,2025-04-23_11h02.41.693,,11.0,14,test,NB,vieux/ancien,7.935999999999979,0.0,,,,,,
learner,R_2Gu4Trs0Uw00Zrj,2025-04-23_11h02.41.693,,12.0,25,filler-true,,pauvre/riche,2.346000000000003,,1.0,,,,,
learner,R_2Gu4Trs0Uw00Zrj,2025-04-23_11h02.41.693,,13.0,36,filler-false,,timide/curieux,4.034999999999968,,1.0,,,,,
learner,R_2Gu4Trs0Uw00Zrj,2025-04-23_11h02.41.693,,14.0,7,test,B,triste/abattu,15.644999999999982,0.0,,,,,,
learner,R_2Gu4Trs0Uw00Zrj,2025-04-23_11h02.41.693,,15.0,40,filler-false,,cher/ennuyeuse,7.736999999999966,,1.0,,,,,
learner,R_2Gu4Trs0Uw00Zrj,2025-04-23_11h02.41.693,,16.0,10,test,B,respectable/honorable,3.086000000000012,0.0,,,,,,
learner,R_2Gu4Trs0Uw00Zrj,2025-04-23_11h02.41.693,,17.0,9,test,B,bon/parfait,6.891999999999996,0.0,,,,,,
learner,R_2Gu4Trs0Uw00Zrj,2025-04-23_11h02.41.693,,18.0,41,filler-false,,doux/fin,9.308999999999969,,1.0,,,,,
learner,R_2Gu4Trs0Uw00Zrj,2025-04-23_11h02.41.693,,19.0,15,test,NB,gros/énorme,22.432000000000016,0.0,,,,,,
