group,participant,date,practice.thisTrialN,implicatures.thisTrialN,id,condition,scale_type,scale_term,respSI_RT.rt,respSI_RT.implicature,respSI_RT.corr,lexTALE.thisTrialN,word,status,respLDT.corr,respLDT.rt
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,,,,,,,,,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,,,,,,,,,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,0.0,,b,filler-true,,proche/lointain,6.945999999999998,,1.0,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,1.0,,c,filler-false,,égoïste/petit,5.835999999999984,,1.0,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,2.0,,a,test,B,longue/interminable,4.7520000000000095,0.0,,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,,,,,,,,,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,0.0,19,test,NB,mignon/beau,5.486000000000018,0.0,,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,1.0,9,test,B,bon/parfait,33.22399999999999,1.0,,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,2.0,35,filler-false,,joli/fort,5.984999999999985,,1.0,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,3.0,34,filler-false,,large/colorée,4.228999999999985,,1.0,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,4.0,44,filler-false,,stupide/inquiet,6.557999999999993,,1.0,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,5.0,23,filler-true,,lent/rapide,4.324999999999989,,1.0,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,6.0,22,test,NB,intelligent/brilliant,12.853999999999985,0.0,,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,7.0,24,filler-true,,sale/propre,5.471000000000004,,1.0,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,8.0,27,filler-true,,léger/lourd,19.024999999999977,,1.0,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,9.0,4,test,B,mémorable/inoubliable,6.406000000000006,1.0,,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,10.0,15,test,NB,gros/énorme,5.883000000000038,0.0,,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,11.0,33,filler-true,,actif/paresseux,6.370000000000004,,0.0,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,12.0,17,test,NB,a faim/affamé,8.009000000000015,0.0,,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,13.0,16,test,NB,gras/obèse,29.451999999999998,0.0,,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,14.0,2,test,B,faible/vide,7.800999999999988,1.0,,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,15.0,36,filler-false,,timide/curieux,6.6059999999999945,,0.0,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,16.0,30,filler-true,,fermé/ouvert,5.680000000000007,,1.0,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,17.0,32,filler-true,,froid/chaud,4.019999999999982,,1.0,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,18.0,3,test,B,dure/insoluble,21.87099999999998,1.0,,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,19.0,10,test,B,respectable/honorable,5.069000000000017,0.0,,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,20.0,43,filler-false,,poli/pressé,3.504999999999995,,0.0,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,21.0,42,filler-false,,jeune/sérieux,10.355000000000018,,1.0,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,22.0,40,filler-false,,cher/ennuyeuse,4.314000000000021,,1.0,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,23.0,21,test,NB,moche/hideux,12.622000000000014,0.0,,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,24.0,18,test,NB,beau/sublime,3.411999999999977,0.0,,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,25.0,12,test,NB,fatigué/épuisé,14.508999999999958,1.0,,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,26.0,37,filler-false,,fou/dangereux,5.802000000000135,,1.0,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,27.0,41,filler-false,,doux/fin,12.956999999999994,,1.0,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,28.0,38,filler-false,,effrayant/marron,4.303999999999974,,1.0,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,29.0,28,filler-true,,petit/grand,3.672000000000025,,1.0,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,30.0,6,test,B,mouillé/trempé,8.67100000000005,1.0,,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,31.0,39,filler-false,,fâché/raisonnable,12.317000000000007,,0.0,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,32.0,1,test,B,spéciale/unique,4.4090000000001055,0.0,,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,33.0,31,filler-true,,noir/blanc,3.317999999999983,,1.0,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,34.0,13,test,NB,goûteux/délicieux,5.328999999999951,1.0,,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,35.0,11,test,B,vif/éblouissant,18.666999999999916,1.0,,,,,,
learner,R_2HBrKXdObrSnoSl,2025-04-23_11h01.26.596,,36.0,26,filler-true,,superficiel/profond,4.571000000000026,,1.0,,,,,
