group,participant,date,practice.thisTrialN,implicatures.thisTrialN,id,condition,scale_type,scale_term,respSI_RT.rt,respSI_RT.implicature,respSI_RT.corr,lexTALE.thisTrialN,word,status,respLDT.corr,respLDT.rt
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,,,,,,,,,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,,,,,,,,,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,0.0,,a,test,B,longue/interminable,5.244399999998514,1.0,,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,1.0,,b,filler-true,,proche/lointain,5.600599999994046,,1.0,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,2.0,,c,filler-false,,égoïste/petit,2.416499999999999,,1.0,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,,,,,,,,,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,0.0,2,test,B,faible/vide,17.26279999999703,0.0,,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,1.0,40,filler-false,,cher/ennuyeuse,1.707399999998514,,1.0,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,2.0,39,filler-false,,fâché/raisonnable,2.56979999999703,,0.0,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,3.0,41,filler-false,,doux/fin,3.246300000004481,,1.0,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,4.0,7,test,B,triste/abattu,6.431700000002991,0.0,,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,5.0,32,filler-true,,froid/chaud,7.249699999995528,,1.0,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,6.0,21,test,NB,moche/hideux,3.863700000002978,0.0,,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,7.0,42,filler-false,,jeune/sérieux,3.617799999997004,,1.0,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,8.0,5,test,B,calme/inaudible,6.42030000000446,1.0,,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,9.0,14,test,NB,vieux/ancien,4.381800000004461,0.0,,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,10.0,27,filler-true,,léger/lourd,7.447000000000003,,0.0,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,11.0,26,filler-true,,superficiel/profond,10.631300000004472,,0.0,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,12.0,29,filler-true,,gentil/méchant,1.65370000000297,,1.0,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,13.0,4,test,B,mémorable/inoubliable,3.934199999995513,0.0,,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,14.0,44,filler-false,,stupide/inquiet,7.661399999998508,,1.0,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,15.0,6,test,B,mouillé/trempé,7.180100000001488,0.0,,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,16.0,16,test,NB,gras/obèse,12.014100000001491,1.0,,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,17.0,8,test,B,difficile/impossible,7.8785000000000025,1.0,,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,18.0,13,test,NB,goûteux/délicieux,6.771900000005957,0.0,,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,19.0,33,filler-true,,actif/paresseux,8.338299999997048,,1.0,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,20.0,34,filler-false,,large/colorée,2.236500000000035,,1.0,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,21.0,10,test,B,respectable/honorable,4.961199999995529,0.0,,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,22.0,31,filler-true,,noir/blanc,6.568899999998507,,1.0,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,23.0,25,filler-true,,pauvre/riche,1.7842000000030112,,1.0,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,24.0,28,filler-true,,petit/grand,8.509999999999991,,1.0,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,25.0,23,filler-true,,lent/rapide,3.563700000002995,,1.0,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,26.0,11,test,B,vif/éblouissant,7.437400000005937,0.0,,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,27.0,43,filler-false,,poli/pressé,3.73599999999999,,1.0,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,28.0,17,test,NB,a faim/affamé,9.16970000000299,0.0,,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,29.0,9,test,B,bon/parfait,6.367999999999995,1.0,,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,30.0,37,filler-false,,fou/dangereux,4.020200000003001,,1.0,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,31.0,19,test,NB,mignon/beau,2.586700000002963,0.0,,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,32.0,36,filler-false,,timide/curieux,2.773800000004485,,1.0,,,,,
learner,R_2IFrzTc02dQKDun,2025-04-25_10h41.59.545,,33.0,22,test,NB,intelligent/brilliant,3.054300000004446,0.0,,,,,,
