group,participant,date,practice.thisTrialN,implicatures.thisTrialN,id,condition,scale_type,scale_term,respSI_RT.rt,respSI_RT.implicature,respSI_RT.corr,lexTALE.thisTrialN,word,status,respLDT.corr,respLDT.rt
learner,R_2OZVOKX3FiHxHms,2025-04-23_11h01.48.606,,,,,,,,,,,,,,
learner,R_2OZVOKX3FiHxHms,2025-04-23_11h01.48.606,,,,,,,,,,,,,,
learner,R_2OZVOKX3FiHxHms,2025-04-23_11h01.48.606,0.0,,b,filler-true,,proche/lointain,6.087899999618536,,0.0,,,,,
learner,R_2OZVOKX3FiHxHms,2025-04-23_11h01.48.606,1.0,,c,filler-false,,égoïste/petit,10.10289999961853,,1.0,,,,,
learner,R_2OZVOKX3FiHxHms,2025-04-23_11h01.48.606,2.0,,a,test,B,longue/interminable,5.031599999427797,0.0,,,,,,
learner,R_2OZVOKX3FiHxHms,2025-04-23_11h01.48.606,,,,,,,,,,,,,,
learner,R_2OZVOKX3FiHxHms,2025-04-23_11h01.48.606,,0.0,17,test,NB,a faim/affamé,4.355899999618529,0.0,,,,,,
learner,R_2OZVOKX3FiHxHms,2025-04-23_11h01.48.606,,1.0,41,filler-false,,doux/fin,3.4645999994278043,,0.0,,,,,
learner,R_2OZVOKX3FiHxHms,2025-04-23_11h01.48.606,,2.0,34,filler-false,,large/colorée,2.321999999999988,,1.0,,,,,
learner,R_2OZVOKX3FiHxHms,2025-04-23_11h01.48.606,,3.0,1,test,B,spéciale/unique,4.926100000381467,0.0,,,,,,
learner,R_2OZVOKX3FiHxHms,2025-04-23_11h01.48.606,,4.0,31,filler-true,,noir/blanc,3.17319999980927,,1.0,,,,,
learner,R_2OZVOKX3FiHxHms,2025-04-23_11h01.48.606,,5.0,13,test,NB,goûteux/délicieux,2.761099999427784,0.0,,,,,,
learner,R_2OZVOKX3FiHxHms,2025-04-23_11h01.48.606,,6.0,36,filler-false,,timide/curieux,5.139600000381449,,0.0,,,,,
