group,participant,date,practice.thisTrialN,implicatures.thisTrialN,id,condition,scale_type,scale_term,respSI_RT.rt,respSI_RT.implicature,respSI_RT.corr,lexTALE.thisTrialN,word,status,respLDT.corr,respLDT.rt
learner,R_2VsEgiZ5a3iKcS2,2025-04-25_10h38.36.553,,,,,,,,,,,,,,
learner,R_2VsEgiZ5a3iKcS2,2025-04-25_10h38.36.553,,,,,,,,,,,,,,
learner,R_2VsEgiZ5a3iKcS2,2025-04-25_10h38.36.553,0.0,,c,filler-false,,égoïste/petit,12.468699999999252,,1.0,,,,,
learner,R_2VsEgiZ5a3iKcS2,2025-04-25_10h38.36.553,1.0,,b,filler-true,,proche/lointain,3.895300000000745,,0.0,,,,,
learner,R_2VsEgiZ5a3iKcS2,2025-04-25_10h38.36.553,2.0,,a,test,B,longue/interminable,6.796699999999248,0.0,,,,,,
learner,R_2VsEgiZ5a3iKcS2,2025-04-25_10h38.36.553,,,,,,,,,,,,,,
learner,R_2VsEgiZ5a3iKcS2,2025-04-25_10h38.36.553,,0.0,20,test,NB,drôle/hilarant,8.121799999997023,0.0,,,,,,
learner,R_2VsEgiZ5a3iKcS2,2025-04-25_10h38.36.553,,1.0,16,test,NB,gras/obèse,4.550099999997755,0.0,,,,,,
learner,R_2VsEgiZ5a3iKcS2,2025-04-25_10h38.36.553,,2.0,37,filler-false,,fou/dangereux,3.8016999999992582,,1.0,,,,,
learner,R_2VsEgiZ5a3iKcS2,2025-04-25_10h38.36.553,,3.0,29,filler-true,,gentil/méchant,3.319499999999991,,1.0,,,,,
learner,R_2VsEgiZ5a3iKcS2,2025-04-25_10h38.36.553,,4.0,32,filler-true,,froid/chaud,2.828500000000005,,1.0,,,,,
learner,R_2VsEgiZ5a3iKcS2,2025-04-25_10h38.36.553,,5.0,12,test,NB,fatigué/épuisé,2.754099999997748,0.0,,,,,,
learner,R_2VsEgiZ5a3iKcS2,2025-04-25_10h38.36.553,,6.0,2,test,B,faible/vide,5.237499999999983,0.0,,,,,,
