group,participant,date,practice.thisTrialN,implicatures.thisTrialN,id,condition,scale_type,scale_term,respSI_RT.rt,respSI_RT.implicature,respSI_RT.corr,lexTALE.thisTrialN,word,status,respLDT.corr,respLDT.rt
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,0.0,,b,filler-true,,proche/lointain,15.494099999994049,,1.0,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,1.0,,a,test,B,longue/interminable,7.060199999988072,0.0,,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,2.0,,c,filler-false,,égoïste/petit,8.133099999994045,,1.0,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,0.0,29,filler-true,,gentil/méchant,6.522700000017863,,0.0,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,1.0,16,test,NB,gras/obèse,7.374699999988081,1.0,,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,2.0,8,test,B,difficile/impossible,12.08269999998808,0.0,,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,3.0,26,filler-true,,superficiel/profond,9.524899999976157,,0.0,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,4.0,13,test,NB,goûteux/délicieux,7.4540999999940425,0.0,,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,5.0,40,filler-false,,cher/ennuyeuse,5.250099999994035,,0.0,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,6.0,32,filler-true,,froid/chaud,4.872599999994037,,1.0,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,7.0,15,test,NB,gros/énorme,6.666300000011944,0.0,,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,8.0,43,filler-false,,poli/pressé,6.791099999994032,,1.0,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,9.0,38,filler-false,,effrayant/marron,4.084700000017875,,1.0,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,10.0,39,filler-false,,fâché/raisonnable,4.859400000005962,,0.0,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,11.0,9,test,B,bon/parfait,4.472800000011944,0.0,,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,12.0,6,test,B,mouillé/trempé,4.344000000000022,1.0,,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,13.0,22,test,NB,intelligent/brilliant,4.081200000017873,0.0,,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,14.0,24,filler-true,,sale/propre,3.060700000017902,,0.0,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,15.0,20,test,NB,drôle/hilarant,3.9753999999761622,0.0,,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,16.0,14,test,NB,vieux/ancien,4.784099999994055,0.0,,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,17.0,23,filler-true,,lent/rapide,4.683499999999981,,1.0,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,18.0,10,test,B,respectable/honorable,5.054900000006,0.0,,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,19.0,4,test,B,mémorable/inoubliable,11.250300000011919,0.0,,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,20.0,34,filler-false,,large/colorée,7.891599999994071,,1.0,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,21.0,42,filler-false,,jeune/sérieux,3.919200000017895,,1.0,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,22.0,7,test,B,triste/abattu,2.826999999999998,1.0,,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,23.0,21,test,NB,moche/hideux,4.231100000023844,0.0,,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,24.0,35,filler-false,,joli/fort,4.688699999988046,,1.0,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,25.0,19,test,NB,mignon/beau,4.179099999994037,0.0,,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,26.0,3,test,B,dure/insoluble,9.323800000011943,1.0,,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,27.0,12,test,NB,fatigué/épuisé,4.080199999988054,0.0,,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,28.0,1,test,B,spéciale/unique,8.909899999976176,0.0,,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,29.0,2,test,B,faible/vide,5.081300000011936,0.0,,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,30.0,28,filler-true,,petit/grand,2.715700000017875,,1.0,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,31.0,5,test,B,calme/inaudible,2.445099999993999,0.0,,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,32.0,37,filler-false,,fou/dangereux,5.893700000017873,,1.0,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,33.0,44,filler-false,,stupide/inquiet,10.015799999982164,,1.0,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,34.0,41,filler-false,,doux/fin,11.47950000000003,,1.0,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,35.0,27,filler-true,,léger/lourd,5.5106999999881054,,1.0,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,36.0,30,filler-true,,fermé/ouvert,5.51580000001195,,1.0,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,37.0,17,test,NB,a faim/affamé,4.156399999976145,0.0,,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,38.0,18,test,NB,beau/sublime,5.858199999988074,0.0,,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,39.0,33,filler-true,,actif/paresseux,2.856999999999971,,0.0,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,40.0,36,filler-false,,timide/curieux,3.553800000011904,,1.0,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,41.0,25,filler-true,,pauvre/riche,2.187000000000012,,1.0,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,42.0,11,test,B,vif/éblouissant,3.079299999982083,1.0,,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,43.0,31,filler-true,,noir/blanc,9.368499999999983,,1.0,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,,,,,
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,0.0,lézard,word,1.0,2.962800000011896
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,1.0,caddie,word,0.0,1.767800000011902
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,2.0,peigne,word,1.0,1.350200000017878
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,3.0,bouton,word,1.0,2.000099999994006
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,4.0,alourdir,word,0.0,1.136599999994018
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,5.0,ennemi,word,0.0,1.05759999999401
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,6.0,parchance,nonword,0.0,0.9817999999821151
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,7.0,honteur,nonword,0.0,0.7196000000238311
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,8.0,soumon,nonword,0.0,1.185099999994065
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,9.0,capeline,word,0.0,1.021300000011876
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,10.0,éventail,word,0.0,1.264900000005923
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,11.0,robinet,word,1.0,0.8618999999761741
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,12.0,abêtir,word,0.0,1.7963999999761882
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,13.0,esquif,word,1.0,1.300199999988081
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,14.0,sentuelle,nonword,0.0,1.212800000011896
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,15.0,parir,nonword,0.0,0.5939999999999941
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,16.0,amorce,word,0.0,0.9964999999999691
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,17.0,fenêtre,word,1.0,1.426599999994039
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,18.0,inciter,word,1.0,0.9523999999761941
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,19.0,occire,word,0.0,1.121900000005951
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,20.0,cheveux,word,1.0,1.005599999994046
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,21.0,cloche,word,0.0,1.5460999999939982
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,22.0,clouer,word,0.0,1.417200000017885
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,23.0,osseaux,nonword,1.0,1.050899999976195
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,24.0,procoreux,nonword,1.0,1.360299999982089
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,25.0,prioche,nonword,0.0,0.8347999999821241
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,26.0,cessure,nonword,0.0,0.779799999982117
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,27.0,mappemonde,word,0.0,3.766299999982038
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,28.0,jamain,nonword,1.0,3.302300000011996
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,29.0,remporter,word,1.0,1.005299999982071
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,30.0,fourmi,word,0.0,0.9471999999881291
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,31.0,fouet,word,1.0,0.8626999999880801
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,32.0,œillet,word,0.0,3.350999999999999
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,33.0,poisson,word,1.0,0.5640999999941411
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,34.0,rejoute,nonword,0.0,0.6365999999940181
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,35.0,marteau,word,1.0,0.629199999988031
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,36.0,écureuil,word,0.0,0.8060999999939891
learner,R_2d4gGI9cRiu0bpp,2025-04-23_12h40.39.663,,,,,,,,,,37.0,pourcine,nonword,0.0,0.9388999999762291
