group,participant,date,practice.thisTrialN,implicatures.thisTrialN,id,condition,scale_type,scale_term,respSI_RT.rt,respSI_RT.implicature,respSI_RT.corr,lexTALE.thisTrialN,word,status,respLDT.corr,respLDT.rt
learner,R_2gGoPdh4xaSBLeV,2025-04-23_12h40.43.488,,,,,,,,,,,,,,
learner,R_2gGoPdh4xaSBLeV,2025-04-23_12h40.43.488,,,,,,,,,,,,,,
learner,R_2gGoPdh4xaSBLeV,2025-04-23_12h40.43.488,0.0,,a,test,B,longue/interminable,19.39940000009537,0.0,,,,,,
learner,R_2gGoPdh4xaSBLeV,2025-04-23_12h40.43.488,1.0,,c,filler-false,,égoïste/petit,7.016200000047689,,1.0,,,,,
learner,R_2gGoPdh4xaSBLeV,2025-04-23_12h40.43.488,2.0,,b,filler-true,,proche/lointain,6.258799999952316,,1.0,,,,,
learner,R_2gGoPdh4xaSBLeV,2025-04-23_12h40.43.488,,,,,,,,,,,,,,
learner,R_2gGoPdh4xaSBLeV,2025-04-23_12h40.43.488,,0.0,2,test,B,faible/vide,3.918700000047678,0.0,,,,,,
learner,R_2gGoPdh4xaSBLeV,2025-04-23_12h40.43.488,,1.0,15,test,NB,gros/énorme,4.841099999904628,0.0,,,,,,
learner,R_2gGoPdh4xaSBLeV,2025-04-23_12h40.43.488,,2.0,3,test,B,dure/insoluble,3.753700000047686,0.0,,,,,,
learner,R_2gGoPdh4xaSBLeV,2025-04-23_12h40.43.488,,3.0,4,test,B,mémorable/inoubliable,15.359200000047693,1.0,,,,,,
learner,R_2gGoPdh4xaSBLeV,2025-04-23_12h40.43.488,,4.0,18,test,NB,beau/sublime,2.889699999809266,0.0,,,,,,
learner,R_2gGoPdh4xaSBLeV,2025-04-23_12h40.43.488,,5.0,6,test,B,mouillé/trempé,6.760099999904639,1.0,,,,,,
learner,R_2gGoPdh4xaSBLeV,2025-04-23_12h40.43.488,,6.0,42,filler-false,,jeune/sérieux,2.968299999952307,,1.0,,,,,
learner,R_2gGoPdh4xaSBLeV,2025-04-23_12h40.43.488,,7.0,5,test,B,calme/inaudible,8.966099999904628,0.0,,,,,,
learner,R_2gGoPdh4xaSBLeV,2025-04-23_12h40.43.488,,8.0,40,filler-false,,cher/ennuyeuse,7.8626999998092515,,1.0,,,,,
learner,R_2gGoPdh4xaSBLeV,2025-04-23_12h40.43.488,,9.0,12,test,NB,fatigué/épuisé,5.950500000000005,1.0,,,,,,
learner,R_2gGoPdh4xaSBLeV,2025-04-23_12h40.43.488,,10.0,1,test,B,spéciale/unique,5.617899999856945,0.0,,,,,,
