group,participant,date,practice.thisTrialN,implicatures.thisTrialN,id,condition,scale_type,scale_term,respSI_RT.rt,respSI_RT.implicature,respSI_RT.corr,lexTALE.thisTrialN,word,status,respLDT.corr,respLDT.rt
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,0.0,,c,filler-false,,égoïste/petit,3.459100000143053,,1.0,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,1.0,,a,test,B,longue/interminable,4.315499999999993,1.0,,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,2.0,,b,filler-true,,proche/lointain,3.361399999856942,,1.0,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,0.0,20,test,NB,drôle/hilarant,3.382400000095359,0.0,,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,1.0,5,test,B,calme/inaudible,7.91529999995231,0.0,,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,2.0,33,filler-true,,actif/paresseux,4.16719999980927,,1.0,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,3.0,36,filler-false,,timide/curieux,2.9662999999523123,,1.0,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,4.0,27,filler-true,,léger/lourd,5.121599999904632,,1.0,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,5.0,2,test,B,faible/vide,6.949200000047682,0.0,,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,6.0,37,filler-false,,fou/dangereux,2.381799999952335,,1.0,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,7.0,7,test,B,triste/abattu,3.501599999904613,1.0,,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,8.0,22,test,NB,intelligent/brilliant,3.470799999952334,0.0,,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,9.0,40,filler-false,,cher/ennuyeuse,2.507000000000005,,1.0,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,10.0,6,test,B,mouillé/trempé,3.933299999952311,1.0,,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,11.0,18,test,NB,beau/sublime,2.950599999904653,0.0,,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,12.0,38,filler-false,,effrayant/marron,3.519800000190741,,1.0,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,13.0,13,test,NB,goûteux/délicieux,2.753299999952332,0.0,,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,14.0,39,filler-false,,fâché/raisonnable,3.768299999952319,,0.0,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,15.0,34,filler-false,,large/colorée,2.684500000000014,,1.0,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,16.0,11,test,B,vif/éblouissant,3.203799999952309,0.0,,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,17.0,31,filler-true,,noir/blanc,2.402200000047685,,1.0,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,18.0,23,filler-true,,lent/rapide,3.820600000143059,,1.0,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,19.0,12,test,NB,fatigué/épuisé,3.133200000047708,1.0,,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,20.0,8,test,B,difficile/impossible,5.846499999999992,1.0,,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,21.0,1,test,B,spéciale/unique,2.384399999856953,0.0,,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,22.0,24,filler-true,,sale/propre,3.253099999904634,,0.0,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,23.0,14,test,NB,vieux/ancien,8.26209999990462,0.0,,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,24.0,30,filler-true,,fermé/ouvert,3.333900000095354,,1.0,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,25.0,44,filler-false,,stupide/inquiet,2.848399999856951,,1.0,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,26.0,15,test,NB,gros/énorme,2.738800000190735,0.0,,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,27.0,35,filler-false,,joli/fort,2.750999999999976,,1.0,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,28.0,4,test,B,mémorable/inoubliable,5.33270000004768,0.0,,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,29.0,42,filler-false,,jeune/sérieux,1.888200000047675,,1.0,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,30.0,9,test,B,bon/parfait,4.824299999952302,0.0,,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,31.0,17,test,NB,a faim/affamé,2.15100000000001,0.0,,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,32.0,32,filler-true,,froid/chaud,2.23370000004769,,1.0,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,33.0,3,test,B,dure/insoluble,3.412500000000022,0.0,,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,34.0,10,test,B,respectable/honorable,3.6589000000954,0.0,,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,35.0,21,test,NB,moche/hideux,3.972599999904616,1.0,,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,36.0,19,test,NB,mignon/beau,3.184000000000026,0.0,,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,37.0,28,filler-true,,petit/grand,1.6929999999999832,,1.0,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,38.0,43,filler-false,,poli/pressé,2.922200000047723,,0.0,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,39.0,16,test,NB,gras/obèse,1.9369000000953631,0.0,,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,40.0,29,filler-true,,gentil/méchant,2.538299999952357,,0.0,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,41.0,26,filler-true,,superficiel/profond,2.81899999999996,,1.0,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,42.0,25,filler-true,,pauvre/riche,1.783900000095343,,1.0,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,43.0,41,filler-false,,doux/fin,3.150200000047675,,1.0,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,,,,,
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,0.0,fascine,word,1.0,1.9681000001430102
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,1.0,réporce,nonword,1.0,2.067999999999983
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,2.0,orgueil,word,1.0,1.434700000047712
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,3.0,vicelard,word,1.0,1.826100000143014
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,4.0,clouer,word,0.0,1.221200000047702
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,5.0,huif,nonword,1.0,0.85279999995231
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,6.0,fourmi,word,1.0,1.15100000000001
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,7.0,fouet,word,1.0,1.185400000095398
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,8.0,rejoute,nonword,1.0,1.501299999952323
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,9.0,capeline,word,1.0,1.78220000004768
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,10.0,robinet,word,1.0,1.1068999998569211
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,11.0,fosse,word,1.0,2.555400000095403
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,12.0,sentuelle,nonword,1.0,0.651700000047696
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,13.0,indicible,word,0.0,1.51760000014309
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,14.0,écouce,nonword,0.0,1.068899999856967
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,15.0,raplaner,nonword,1.0,1.134699999809242
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,16.0,lanière,word,0.0,1.052500000000009
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,17.0,treillage,word,1.0,0.9895999999046691
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,18.0,éventail,word,0.0,1.703499999999962
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,19.0,plaiser,nonword,0.0,1.102599999904669
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,20.0,marteau,word,1.0,1.575499999999976
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,21.0,chameau,word,1.0,1.086200000047654
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,22.0,bouton,word,0.0,0.8511999998092391
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,23.0,ennemi,word,0.0,2.156199999809303
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,24.0,racaille,word,1.0,0.758600000143076
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,25.0,fenêtre,word,1.0,0.8592999999523271
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,26.0,bouilloire,word,1.0,1.751499999999964
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,27.0,lézard,word,0.0,0.8687000000476811
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,28.0,pourcine,nonword,1.0,2.882499999999993
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,29.0,écureuil,word,1.0,1.0750999999046371
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,30.0,endifier,nonword,1.0,1.438299999952335
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,31.0,escroc,word,0.0,0.9324000000953561
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,32.0,cintre,word,0.0,0.786000000000001
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,33.0,joueux,nonword,0.0,0.880999999999971
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,34.0,poisson,word,1.0,0.8502999999523121
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,35.0,église,word,1.0,0.9419000000953581
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,36.0,citrouille,word,0.0,1.437599999904648
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,37.0,cessure,nonword,1.0,0.8341999998093
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,38.0,alourdir,word,1.0,1.195599999904629
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,39.0,procoreux,nonword,1.0,1.368900000095322
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,40.0,oeuiller,nonword,0.0,0.8214000000953661
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,41.0,peigne,word,1.0,1.674600000143073
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,42.0,parir,nonword,1.0,0.8197000000476461
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,43.0,cloche,word,1.0,0.8497000000476761
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,44.0,crayon,word,1.0,0.8481999998092531
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,45.0,panier,word,1.0,1.5021000001430589
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,46.0,hache,word,0.0,0.700299999952335
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,47.0,jamain,nonword,1.0,0.985600000143051
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,48.0,gloque,nonword,1.0,1.117700000047648
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,49.0,retruire,nonword,0.0,0.8522999999523221
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,50.0,parchance,nonword,0.0,1.6010999999046471
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,51.0,sacher,nonword,0.0,0.9527000000476841
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,52.0,abêtir,word,0.0,0.8448000001907301
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,53.0,pinceau,word,0.0,1.086800000190749
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,54.0,œillet,word,1.0,0.7689000000953571
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,55.0,balai,word,1.0,1.2354000000953531
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,56.0,honteur,nonword,0.0,1.089300000190746
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,57.0,détume,nonword,0.0,1.333500000000015
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,58.0,mignon,word,1.0,0.7659000000953711
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,59.0,cerveler,nonword,1.0,0.9087999999522931
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,60.0,canoter,word,0.0,0.8202000000476911
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,61.0,amadouer,word,0.0,1.94779999995228
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,62.0,metter,nonword,0.0,0.8147000000476511
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,63.0,pouce,word,1.0,1.857800000190764
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,64.0,remporter,word,1.0,0.85290000009536
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,65.0,occire,word,0.0,0.9191000001430891
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,66.0,salière,word,0.0,1.7096000001430411
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,67.0,dauphin,word,0.0,0.8852000000476891
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,68.0,osseaux,nonword,0.0,1.183799999952327
learner,R_2qsDbk52cD9pqdr,2025-04-25_11h18.52.698,,,,,,,,,,69.0,semonce,word,0.0,0.8913999998569581
