group,participant,date,practice.thisTrialN,implicatures.thisTrialN,id,condition,scale_type,scale_term,respSI_RT.rt,respSI_RT.implicature,respSI_RT.corr,lexTALE.thisTrialN,word,status,respLDT.corr,respLDT.rt
learner,R_2w5nbDYPWE1Q9aa,2025-04-25_10h40.32.572,,,,,,,,,,,,,,
learner,R_2w5nbDYPWE1Q9aa,2025-04-25_10h40.32.572,,,,,,,,,,,,,,
learner,R_2w5nbDYPWE1Q9aa,2025-04-25_10h40.32.572,0.0,,b,filler-true,,proche/lointain,5.8940000000000055,,1.0,,,,,
learner,R_2w5nbDYPWE1Q9aa,2025-04-25_10h40.32.572,1.0,,c,filler-false,,égoïste/petit,3.2489999999999952,,1.0,,,,,
learner,R_2w5nbDYPWE1Q9aa,2025-04-25_10h40.32.572,2.0,,a,test,B,longue/interminable,8.858000000000004,0.0,,,,,,
learner,R_2w5nbDYPWE1Q9aa,2025-04-25_10h40.32.572,,,,,,,,,,,,,,
learner,R_2w5nbDYPWE1Q9aa,2025-04-25_10h40.32.572,,0.0,20,test,NB,drôle/hilarant,6.376999999999995,0.0,,,,,,
learner,R_2w5nbDYPWE1Q9aa,2025-04-25_10h40.32.572,,1.0,14,test,NB,vieux/ancien,7.570999999999998,0.0,,,,,,
learner,R_2w5nbDYPWE1Q9aa,2025-04-25_10h40.32.572,,2.0,4,test,B,mémorable/inoubliable,4.882999999999981,1.0,,,,,,
learner,R_2w5nbDYPWE1Q9aa,2025-04-25_10h40.32.572,,3.0,2,test,B,faible/vide,5.034999999999997,1.0,,,,,,
learner,R_2w5nbDYPWE1Q9aa,2025-04-25_10h40.32.572,,4.0,26,filler-true,,superficiel/profond,10.189999999999998,,1.0,,,,,
learner,R_2w5nbDYPWE1Q9aa,2025-04-25_10h40.32.572,,5.0,39,filler-false,,fâché/raisonnable,4.667000000000002,,0.0,,,,,
learner,R_2w5nbDYPWE1Q9aa,2025-04-25_10h40.32.572,,6.0,22,test,NB,intelligent/brilliant,3.519999999999982,0.0,,,,,,
learner,R_2w5nbDYPWE1Q9aa,2025-04-25_10h40.32.572,,7.0,40,filler-false,,cher/ennuyeuse,5.078999999999979,,1.0,,,,,
learner,R_2w5nbDYPWE1Q9aa,2025-04-25_10h40.32.572,,8.0,23,filler-true,,lent/rapide,4.207000000000022,,0.0,,,,,
learner,R_2w5nbDYPWE1Q9aa,2025-04-25_10h40.32.572,,9.0,32,filler-true,,froid/chaud,5.256999999999977,,1.0,,,,,
learner,R_2w5nbDYPWE1Q9aa,2025-04-25_10h40.32.572,,10.0,43,filler-false,,poli/pressé,8.665999999999997,,1.0,,,,,
learner,R_2w5nbDYPWE1Q9aa,2025-04-25_10h40.32.572,,11.0,16,test,NB,gras/obèse,15.621999999999986,0.0,,,,,,
learner,R_2w5nbDYPWE1Q9aa,2025-04-25_10h40.32.572,,12.0,25,filler-true,,pauvre/riche,3.44300000000004,,1.0,,,,,
learner,R_2w5nbDYPWE1Q9aa,2025-04-25_10h40.32.572,,13.0,7,test,B,triste/abattu,3.41500000000002,0.0,,,,,,
learner,R_2w5nbDYPWE1Q9aa,2025-04-25_10h40.32.572,,14.0,28,filler-true,,petit/grand,3.6569999999999823,,1.0,,,,,
learner,R_2w5nbDYPWE1Q9aa,2025-04-25_10h40.32.572,,15.0,36,filler-false,,timide/curieux,4.907000000000039,,1.0,,,,,
learner,R_2w5nbDYPWE1Q9aa,2025-04-25_10h40.32.572,,16.0,5,test,B,calme/inaudible,4.918000000000006,0.0,,,,,,
learner,R_2w5nbDYPWE1Q9aa,2025-04-25_10h40.32.572,,17.0,38,filler-false,,effrayant/marron,4.958000000000027,,1.0,,,,,
learner,R_2w5nbDYPWE1Q9aa,2025-04-25_10h40.32.572,,18.0,17,test,NB,a faim/affamé,2.928999999999973,0.0,,,,,,
learner,R_2w5nbDYPWE1Q9aa,2025-04-25_10h40.32.572,,19.0,29,filler-true,,gentil/méchant,2.059000000000026,,1.0,,,,,
learner,R_2w5nbDYPWE1Q9aa,2025-04-25_10h40.32.572,,20.0,19,test,NB,mignon/beau,10.30400000000003,0.0,,,,,,
learner,R_2w5nbDYPWE1Q9aa,2025-04-25_10h40.32.572,,21.0,35,filler-false,,joli/fort,2.372000000000014,,1.0,,,,,
