group,participant,date,practice.thisTrialN,implicatures.thisTrialN,id,condition,scale_type,scale_term,respSI_RT.rt,respSI_RT.implicature,respSI_RT.corr,lexTALE.thisTrialN,word,status,respLDT.corr,respLDT.rt
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,,,,,,,,,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,,,,,,,,,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,0.0,,b,filler-true,,proche/lointain,3.440100000023843,,1.0,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,1.0,,c,filler-false,,égoïste/petit,2.190899999976153,,1.0,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,2.0,,a,test,B,longue/interminable,2.2233999999761522,0.0,,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,,,,,,,,,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,0.0,35,filler-false,,joli/fort,4.6383999999761585,,1.0,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,1.0,40,filler-false,,cher/ennuyeuse,8.427,,0.0,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,2.0,8,test,B,difficile/impossible,16.272600000023843,1.0,,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,3.0,6,test,B,mouillé/trempé,5.40309999990464,1.0,,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,4.0,26,filler-true,,superficiel/profond,5.651399999976164,,0.0,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,5.0,36,filler-false,,timide/curieux,1.46539999997617,,1.0,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,6.0,5,test,B,calme/inaudible,2.231000000000008,1.0,,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,7.0,34,filler-false,,large/colorée,1.400200000047689,,1.0,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,8.0,33,filler-true,,actif/paresseux,2.250700000047686,,1.0,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,9.0,4,test,B,mémorable/inoubliable,3.483500000000006,0.0,,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,10.0,42,filler-false,,jeune/sérieux,1.167600000023839,,1.0,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,11.0,27,filler-true,,léger/lourd,3.39910000002385,,0.0,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,12.0,12,test,NB,fatigué/épuisé,4.99179999995232,1.0,,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,13.0,29,filler-true,,gentil/méchant,2.095199999928482,,0.0,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,14.0,30,filler-true,,fermé/ouvert,1.169799999952303,,1.0,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,15.0,18,test,NB,beau/sublime,1.5876000000238402,0.0,,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,16.0,1,test,B,spéciale/unique,1.8685000000000112,0.0,,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,17.0,7,test,B,triste/abattu,2.107399999976167,0.0,,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,18.0,20,test,NB,drôle/hilarant,2.998500000000007,0.0,,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,19.0,10,test,B,respectable/honorable,3.818999999999988,0.0,,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,20.0,2,test,B,faible/vide,1.9020000000000152,1.0,,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,21.0,32,filler-true,,froid/chaud,6.485600000023851,,1.0,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,22.0,19,test,NB,mignon/beau,1.325299999952335,0.0,,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,23.0,41,filler-false,,doux/fin,2.281399999976173,,1.0,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,24.0,9,test,B,bon/parfait,3.098100000023834,0.0,,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,25.0,21,test,NB,moche/hideux,2.800800000071518,0.0,,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,26.0,17,test,NB,a faim/affamé,3.113200000047698,1.0,,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,27.0,3,test,B,dure/insoluble,14.566899999976158,1.0,,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,28.0,39,filler-false,,fâché/raisonnable,2.784500000000008,,1.0,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,29.0,37,filler-false,,fou/dangereux,2.449899999976139,,1.0,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,30.0,14,test,NB,vieux/ancien,2.917499999999989,1.0,,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,31.0,15,test,NB,gros/énorme,3.830800000071519,0.0,,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,32.0,31,filler-true,,noir/blanc,1.8413000000715272,,1.0,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,33.0,24,filler-true,,sale/propre,2.606200000047693,,1.0,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,34.0,25,filler-true,,pauvre/riche,3.348999999999989,,1.0,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,35.0,22,test,NB,intelligent/brilliant,5.288299999952329,1.0,,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,36.0,43,filler-false,,poli/pressé,2.678199999928466,,1.0,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,37.0,23,filler-true,,lent/rapide,5.620299999952323,,1.0,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,38.0,38,filler-false,,effrayant/marron,3.175299999952329,,1.0,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,39.0,11,test,B,vif/éblouissant,1.893500000000017,0.0,,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,40.0,44,filler-false,,stupide/inquiet,4.054899999976158,,1.0,,,,,
learner,R_2zcL5gsFToNrXsw,2025-04-23_12h40.16.594,,41.0,13,test,NB,goûteux/délicieux,4.8101999999285,0.0,,,,,,
