group,participant,date,practice.thisTrialN,implicatures.thisTrialN,id,condition,scale_type,scale_term,respSI_RT.rt,respSI_RT.implicature,respSI_RT.corr,lexTALE.thisTrialN,word,status,respLDT.corr,respLDT.rt
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,,,,,,,,,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,,,,,,,,,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,0.0,,a,test,B,longue/interminable,11.335100000023843,1.0,,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,1.0,,c,filler-false,,égoïste/petit,4.523899999976159,,1.0,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,2.0,,b,filler-true,,proche/lointain,4.127399999976149,,0.0,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,,,,,,,,,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,0.0,43,filler-false,,poli/pressé,4.612099999904629,,0.0,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,1.0,14,test,NB,vieux/ancien,9.75510000002383,0.0,,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,2.0,40,filler-false,,cher/ennuyeuse,5.880399999976163,,1.0,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,3.0,28,filler-true,,petit/grand,2.182000000000002,,1.0,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,4.0,1,test,B,spéciale/unique,2.498100000023839,0.0,,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,5.0,38,filler-false,,effrayant/marron,5.196100000023833,,1.0,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,6.0,44,filler-false,,stupide/inquiet,7.715499999999992,,1.0,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,7.0,27,filler-true,,léger/lourd,2.499600000023832,,1.0,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,8.0,21,test,NB,moche/hideux,1.8483999999761802,0.0,,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,9.0,26,filler-true,,superficiel/profond,3.117299999952308,,1.0,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,10.0,24,filler-true,,sale/propre,3.733899999976159,,1.0,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,11.0,41,filler-false,,doux/fin,7.012700000047687,,1.0,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,12.0,29,filler-true,,gentil/méchant,3.450599999904625,,1.0,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,13.0,36,filler-false,,timide/curieux,6.255699999928453,,1.0,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,14.0,3,test,B,dure/insoluble,5.388600000023842,1.0,,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,15.0,33,filler-true,,actif/paresseux,7.061199999928448,,1.0,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,16.0,8,test,B,difficile/impossible,4.734600000023846,1.0,,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,17.0,23,filler-true,,lent/rapide,2.488399999976167,,1.0,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,18.0,42,filler-false,,jeune/sérieux,2.230999999999994,,1.0,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,19.0,11,test,B,vif/éblouissant,9.296600000023858,0.0,,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,20.0,2,test,B,faible/vide,5.586999999999989,0.0,,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,21.0,35,filler-false,,joli/fort,2.786899999976157,,1.0,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,22.0,20,test,NB,drôle/hilarant,2.784600000023829,0.0,,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,23.0,22,test,NB,intelligent/brilliant,2.686100000023827,0.0,,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,24.0,39,filler-false,,fâché/raisonnable,4.664299999952362,,0.0,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,25.0,7,test,B,triste/abattu,3.940799999952332,1.0,,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,26.0,18,test,NB,beau/sublime,2.885600000023885,0.0,,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,27.0,13,test,NB,goûteux/délicieux,4.104700000047671,0.0,,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,28.0,25,filler-true,,pauvre/riche,3.054799999952308,,1.0,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,29.0,12,test,NB,fatigué/épuisé,5.367299999952308,0.0,,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,30.0,34,filler-false,,large/colorée,3.456999999999993,,1.0,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,31.0,32,filler-true,,froid/chaud,3.767700000047682,,1.0,,,,,
learner,R_81nNlVJ95OhFkAS,2025-04-23_11h03.19.290,,32.0,9,test,B,bon/parfait,8.734200000047679,0.0,,,,,,
