group,participant,date,practice.thisTrialN,implicatures.thisTrialN,id,condition,scale_type,scale_term,respSI_RT.rt,respSI_RT.implicature,respSI_RT.corr,lexTALE.thisTrialN,word,status,respLDT.corr,respLDT.rt
learner,R_82LSiE1cNY4Hs1E,2025-04-23_12h39.58.674,,,,,,,,,,,,,,
learner,R_82LSiE1cNY4Hs1E,2025-04-23_12h39.58.674,,,,,,,,,,,,,,
learner,R_82LSiE1cNY4Hs1E,2025-04-23_12h39.58.674,0.0,,a,test,B,longue/interminable,10.066000000000003,0.0,,,,,,
learner,R_82LSiE1cNY4Hs1E,2025-04-23_12h39.58.674,1.0,,c,filler-false,,égoïste/petit,3.887,,1.0,,,,,
learner,R_82LSiE1cNY4Hs1E,2025-04-23_12h39.58.674,2.0,,b,filler-true,,proche/lointain,3.2489999999999952,,1.0,,,,,
learner,R_82LSiE1cNY4Hs1E,2025-04-23_12h39.58.674,,,,,,,,,,,,,,
learner,R_82LSiE1cNY4Hs1E,2025-04-23_12h39.58.674,,0.0,22,test,NB,intelligent/brilliant,8.835000000000008,0.0,,,,,,
learner,R_82LSiE1cNY4Hs1E,2025-04-23_12h39.58.674,,1.0,24,filler-true,,sale/propre,5.456999999999994,,1.0,,,,,
learner,R_82LSiE1cNY4Hs1E,2025-04-23_12h39.58.674,,2.0,35,filler-false,,joli/fort,9.12100000000001,,1.0,,,,,
learner,R_82LSiE1cNY4Hs1E,2025-04-23_12h39.58.674,,3.0,19,test,NB,mignon/beau,8.72399999999999,0.0,,,,,,
learner,R_82LSiE1cNY4Hs1E,2025-04-23_12h39.58.674,,4.0,11,test,B,vif/éblouissant,13.305999999999983,1.0,,,,,,
learner,R_82LSiE1cNY4Hs1E,2025-04-23_12h39.58.674,,5.0,8,test,B,difficile/impossible,13.689999999999998,0.0,,,,,,
learner,R_82LSiE1cNY4Hs1E,2025-04-23_12h39.58.674,,6.0,6,test,B,mouillé/trempé,5.719999999999999,0.0,,,,,,
learner,R_82LSiE1cNY4Hs1E,2025-04-23_12h39.58.674,,7.0,2,test,B,faible/vide,3.504999999999995,0.0,,,,,,
learner,R_82LSiE1cNY4Hs1E,2025-04-23_12h39.58.674,,8.0,7,test,B,triste/abattu,4.490000000000009,0.0,,,,,,
learner,R_82LSiE1cNY4Hs1E,2025-04-23_12h39.58.674,,9.0,43,filler-false,,poli/pressé,4.871999999999986,,0.0,,,,,
learner,R_82LSiE1cNY4Hs1E,2025-04-23_12h39.58.674,,10.0,14,test,NB,vieux/ancien,5.010999999999996,1.0,,,,,,
