group,participant,date,practice.thisTrialN,implicatures.thisTrialN,id,condition,scale_type,scale_term,respSI_RT.rt,respSI_RT.implicature,respSI_RT.corr,lexTALE.thisTrialN,word,status,respLDT.corr,respLDT.rt
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,,,,,,,,,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,,,,,,,,,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,0.0,,a,test,B,longue/interminable,6.647999999999996,0.0,,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,1.0,,c,filler-false,,égoïste/petit,9.745000000000005,,1.0,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,2.0,,b,filler-true,,proche/lointain,2.990999999999999,,1.0,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,,,,,,,,,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,0.0,16,test,NB,gras/obèse,7.936000000000007,1.0,,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,1.0,20,test,NB,drôle/hilarant,3.692999999999998,0.0,,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,2.0,38,filler-false,,effrayant/marron,3.492000000000004,,1.0,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,3.0,9,test,B,bon/parfait,11.890000000000015,1.0,,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,4.0,23,filler-true,,lent/rapide,2.425000000000011,,1.0,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,5.0,3,test,B,dure/insoluble,5.057000000000016,0.0,,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,6.0,41,filler-false,,doux/fin,2.364000000000004,,1.0,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,7.0,40,filler-false,,cher/ennuyeuse,2.6169999999999902,,1.0,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,8.0,13,test,NB,goûteux/délicieux,3.6920000000000073,0.0,,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,9.0,30,filler-true,,fermé/ouvert,8.960000000000008,,1.0,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,10.0,8,test,B,difficile/impossible,4.948999999999955,1.0,,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,11.0,24,filler-true,,sale/propre,1.793000000000006,,0.0,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,12.0,37,filler-false,,fou/dangereux,2.258000000000009,,1.0,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,13.0,36,filler-false,,timide/curieux,1.862999999999999,,1.0,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,14.0,19,test,NB,mignon/beau,3.563999999999993,0.0,,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,15.0,27,filler-true,,léger/lourd,5.668000000000006,,1.0,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,16.0,12,test,NB,fatigué/épuisé,1.9239999999999782,0.0,,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,17.0,18,test,NB,beau/sublime,4.7949999999999875,0.0,,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,18.0,35,filler-false,,joli/fort,2.508999999999986,,1.0,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,19.0,6,test,B,mouillé/trempé,4.290999999999997,0.0,,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,20.0,34,filler-false,,large/colorée,1.362999999999999,,1.0,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,21.0,39,filler-false,,fâché/raisonnable,3.026000000000039,,0.0,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,22.0,31,filler-true,,noir/blanc,2.415999999999997,,1.0,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,23.0,32,filler-true,,froid/chaud,2.159999999999968,,1.0,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,24.0,2,test,B,faible/vide,1.6480000000000241,0.0,,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,25.0,28,filler-true,,petit/grand,2.367999999999995,,1.0,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,26.0,43,filler-false,,poli/pressé,3.062000000000012,,1.0,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,27.0,21,test,NB,moche/hideux,2.507000000000005,0.0,,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,28.0,1,test,B,spéciale/unique,3.123999999999967,0.0,,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,29.0,29,filler-true,,gentil/méchant,2.575000000000045,,1.0,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,30.0,33,filler-true,,actif/paresseux,3.754999999999995,,1.0,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,31.0,44,filler-false,,stupide/inquiet,1.195999999999969,,1.0,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,32.0,42,filler-false,,jeune/sérieux,1.826000000000021,,1.0,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,33.0,17,test,NB,a faim/affamé,3.487999999999999,1.0,,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,34.0,11,test,B,vif/éblouissant,4.850000000000023,0.0,,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,35.0,22,test,NB,intelligent/brilliant,4.889999999999986,0.0,,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,36.0,25,filler-true,,pauvre/riche,2.074000000000012,,0.0,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,37.0,4,test,B,mémorable/inoubliable,2.182999999999992,0.0,,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,38.0,10,test,B,respectable/honorable,6.704000000000008,0.0,,,,,,
learner,R_832nMbYV2J5h42B,2025-04-25_10h39.30.056,,39.0,14,test,NB,vieux/ancien,1.425000000000011,0.0,,,,,,
