group,participant,date,practice.thisTrialN,implicatures.thisTrialN,id,condition,scale_type,scale_term,respSI_RT.rt,respSI_RT.implicature,respSI_RT.corr,lexTALE.thisTrialN,word,status,respLDT.corr,respLDT.rt
learner,R_87PfwTKjVPJb6kW,2025-04-25_10h40.07.583,,,,,,,,,,,,,,
learner,R_87PfwTKjVPJb6kW,2025-04-25_10h40.07.583,,,,,,,,,,,,,,
learner,R_87PfwTKjVPJb6kW,2025-04-25_10h40.07.583,0.0,,c,filler-false,,égoïste/petit,8.989999999999995,,1.0,,,,,
learner,R_87PfwTKjVPJb6kW,2025-04-25_10h40.07.583,1.0,,b,filler-true,,proche/lointain,3.379000000000005,,0.0,,,,,
learner,R_87PfwTKjVPJb6kW,2025-04-25_10h40.07.583,2.0,,a,test,B,longue/interminable,8.655000000000001,1.0,,,,,,
learner,R_87PfwTKjVPJb6kW,2025-04-25_10h40.07.583,,,,,,,,,,,,,,
learner,R_87PfwTKjVPJb6kW,2025-04-25_10h40.07.583,,0.0,15,test,NB,gros/énorme,6.5660000000000025,0.0,,,,,,
learner,R_87PfwTKjVPJb6kW,2025-04-25_10h40.07.583,,1.0,43,filler-false,,poli/pressé,8.72699999999999,,1.0,,,,,
learner,R_87PfwTKjVPJb6kW,2025-04-25_10h40.07.583,,2.0,38,filler-false,,effrayant/marron,8.284999999999997,,1.0,,,,,
learner,R_87PfwTKjVPJb6kW,2025-04-25_10h40.07.583,,3.0,18,test,NB,beau/sublime,4.046999999999997,0.0,,,,,,
learner,R_87PfwTKjVPJb6kW,2025-04-25_10h40.07.583,,4.0,32,filler-true,,froid/chaud,6.157999999999987,,0.0,,,,,
learner,R_87PfwTKjVPJb6kW,2025-04-25_10h40.07.583,,5.0,19,test,NB,mignon/beau,6.120999999999981,0.0,,,,,,
learner,R_87PfwTKjVPJb6kW,2025-04-25_10h40.07.583,,6.0,31,filler-true,,noir/blanc,4.918000000000006,,1.0,,,,,
learner,R_87PfwTKjVPJb6kW,2025-04-25_10h40.07.583,,7.0,8,test,B,difficile/impossible,8.475999999999999,0.0,,,,,,
learner,R_87PfwTKjVPJb6kW,2025-04-25_10h40.07.583,,8.0,9,test,B,bon/parfait,4.778999999999996,0.0,,,,,,
learner,R_87PfwTKjVPJb6kW,2025-04-25_10h40.07.583,,9.0,44,filler-false,,stupide/inquiet,13.15300000000002,,1.0,,,,,
learner,R_87PfwTKjVPJb6kW,2025-04-25_10h40.07.583,,10.0,6,test,B,mouillé/trempé,5.824999999999989,0.0,,,,,,
learner,R_87PfwTKjVPJb6kW,2025-04-25_10h40.07.583,,11.0,26,filler-true,,superficiel/profond,12.811000000000007,,1.0,,,,,
learner,R_87PfwTKjVPJb6kW,2025-04-25_10h40.07.583,,12.0,11,test,B,vif/éblouissant,3.09699999999998,1.0,,,,,,
learner,R_87PfwTKjVPJb6kW,2025-04-25_10h40.07.583,,13.0,25,filler-true,,pauvre/riche,2.918999999999982,,1.0,,,,,
