group,participant,date,practice.thisTrialN,implicatures.thisTrialN,id,condition,scale_type,scale_term,respSI_RT.rt,respSI_RT.implicature,respSI_RT.corr,lexTALE.thisTrialN,word,status,respLDT.corr,respLDT.rt
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,,,,,,,,,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,,,,,,,,,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,0.0,,c,filler-false,,égoïste/petit,4.521900000000372,,1.0,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,1.0,,b,filler-true,,proche/lointain,4.807000000000002,,1.0,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,2.0,,a,test,B,longue/interminable,4.904700000000176,0.0,,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,,,,,,,,,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,0.0,44,filler-false,,stupide/inquiet,5.186100000000565,,1.0,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,1.0,37,filler-false,,fou/dangereux,2.68979999999982,,1.0,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,2.0,5,test,B,calme/inaudible,9.472400000000377,0.0,,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,3.0,42,filler-false,,jeune/sérieux,2.607499999999987,,1.0,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,4.0,23,filler-true,,lent/rapide,3.024399999999445,,1.0,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,5.0,24,filler-true,,sale/propre,4.036699999999257,,1.0,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,6.0,9,test,B,bon/parfait,5.903999999999996,0.0,,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,7.0,27,filler-true,,léger/lourd,3.5866000000005442,,1.0,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,8.0,8,test,B,difficile/impossible,5.968799999999817,0.0,,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,9.0,11,test,B,vif/éblouissant,5.774599999999623,1.0,,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,10.0,17,test,NB,a faim/affamé,4.2628999999994335,0.0,,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,11.0,3,test,B,dure/insoluble,4.644200000000183,0.0,,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,12.0,15,test,NB,gros/énorme,13.392199999999235,0.0,,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,13.0,18,test,NB,beau/sublime,3.892299999999807,0.0,,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,14.0,30,filler-true,,fermé/ouvert,4.05219999999926,,1.0,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,15.0,2,test,B,faible/vide,5.771599999999637,0.0,,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,16.0,38,filler-false,,effrayant/marron,4.18889999999945,,1.0,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,17.0,14,test,NB,vieux/ancien,2.606299999999805,0.0,,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,18.0,33,filler-true,,actif/paresseux,7.539499999999975,,0.0,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,19.0,43,filler-false,,poli/pressé,18.337600000000577,,1.0,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,20.0,39,filler-false,,fâché/raisonnable,8.66810000000055,,0.0,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,21.0,41,filler-false,,doux/fin,3.773200000000201,,1.0,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,22.0,19,test,NB,mignon/beau,2.622700000000179,0.0,,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,23.0,10,test,B,respectable/honorable,11.127199999999277,0.0,,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,24.0,13,test,NB,goûteux/délicieux,2.773799999999823,0.0,,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,25.0,21,test,NB,moche/hideux,4.741100000000586,1.0,,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,26.0,25,filler-true,,pauvre/riche,10.671599999999614,,0.0,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,27.0,4,test,B,mémorable/inoubliable,11.519000000000005,0.0,,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,28.0,40,filler-false,,cher/ennuyeuse,6.060799999999801,,1.0,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,29.0,26,filler-true,,superficiel/profond,11.907000000000039,,1.0,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,30.0,1,test,B,spéciale/unique,3.710899999999412,0.0,,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,31.0,29,filler-true,,gentil/méchant,6.105200000000195,,0.0,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,32.0,22,test,NB,intelligent/brilliant,2.519799999999804,0.0,,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,33.0,6,test,B,mouillé/trempé,8.864299999999787,0.0,,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,34.0,16,test,NB,gras/obèse,11.55619999999925,0.0,,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,35.0,35,filler-false,,joli/fort,4.091400000000362,,1.0,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,36.0,7,test,B,triste/abattu,2.755499999999983,0.0,,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,37.0,34,filler-false,,large/colorée,2.633499999999969,,1.0,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,38.0,31,filler-true,,noir/blanc,4.640899999999419,,1.0,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,39.0,36,filler-false,,timide/curieux,6.236899999999423,,1.0,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,40.0,12,test,NB,fatigué/épuisé,4.187000000000012,0.0,,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,41.0,32,filler-true,,froid/chaud,3.029999999999972,,1.0,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,42.0,20,test,NB,drôle/hilarant,2.841000000000008,0.0,,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,43.0,28,filler-true,,petit/grand,7.018800000000738,,1.0,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,,,,,,,,,,,,,
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,,,,,,,,,0.0,citrouille,word,1.0,5.332299999999805
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,,,,,,,,,1.0,nouer,word,1.0,1.9398999999995112
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,,,,,,,,,2.0,alourdir,word,1.0,1.528199999999287
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,,,,,,,,,3.0,amadouer,word,1.0,1.428799999999796
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,,,,,,,,,4.0,parir,nonword,0.0,0.9967999999997801
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,,,,,,,,,5.0,esquif,word,0.0,2.097299999999904
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,,,,,,,,,6.0,prioche,nonword,0.0,1.658400000000369
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,,,,,,,,,7.0,capeline,word,0.0,2.86529999999982
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,,,,,,,,,8.0,infâme,word,0.0,3.110399999999458
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,,,,,,,,,9.0,écouce,nonword,0.0,2.274099999999634
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,,,,,,,,,10.0,réporce,nonword,0.0,1.525499999999965
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,,,,,,,,,11.0,oeuiller,nonword,0.0,1.716099999999642
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,,,,,,,,,12.0,fascine,word,1.0,1.608600000000592
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,,,,,,,,,13.0,gloque,nonword,1.0,4.74350000000004
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,,,,,,,,,14.0,œillet,word,0.0,3.298099999999635
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,,,,,,,,,15.0,treillage,word,0.0,3.316299999999842
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,,,,,,,,,16.0,pourcine,nonword,0.0,2.29740000000038
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,,,,,,,,,17.0,chameau,word,1.0,1.447300000000723
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,,,,,,,,,18.0,agire,nonword,0.0,4.979000000000042
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,,,,,,,,,19.0,église,word,1.0,1.376600000000621
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,,,,,,,,,20.0,peigne,word,1.0,1.8067999999998392
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,,,,,,,,,21.0,joueux,nonword,0.0,1.095200000000204
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,,,,,,,,,22.0,osseaux,nonword,0.0,1.02699999999993
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,,,,,,,,,23.0,fosse,word,1.0,2.8789000000003853
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,,,,,,,,,24.0,cessure,nonword,0.0,1.161500000000046
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,,,,,,,,,25.0,escroc,word,0.0,1.962000000000102
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,,,,,,,,,26.0,procoreux,nonword,0.0,2.398899999999457
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,,,,,,,,,27.0,ennemi,word,0.0,3.181799999999839
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,,,,,,,,,28.0,remporter,word,1.0,1.3522999999999001
learner,R_88uYOwXxxdorgv7,2025-04-25_10h40.44.813,,,,,,,,,,29.0,cintre,word,1.0,1.739599999999654
