group,participant,date,practice.thisTrialN,implicatures.thisTrialN,id,condition,scale_type,scale_term,respSI_RT.rt,respSI_RT.implicature,respSI_RT.corr,lexTALE.thisTrialN,word,status,respLDT.corr,respLDT.rt
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,,,,,,,,,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,,,,,,,,,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,0.0,,b,filler-true,,proche/lointain,4.237999999999999,,1.0,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,1.0,,a,test,B,longue/interminable,4.064999999999998,0.0,,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,2.0,,c,filler-false,,égoïste/petit,3.590000000000003,,1.0,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,,,,,,,,,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,0.0,17,test,NB,a faim/affamé,3.814000000000007,0.0,,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,1.0,43,filler-false,,poli/pressé,3.966000000000008,,1.0,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,2.0,18,test,NB,beau/sublime,2.826000000000007,0.0,,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,3.0,23,filler-true,,lent/rapide,4.9680000000000035,,0.0,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,4.0,31,filler-true,,noir/blanc,1.552999999999997,,1.0,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,5.0,33,filler-true,,actif/paresseux,3.018999999999991,,1.0,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,6.0,29,filler-true,,gentil/méchant,1.882000000000005,,1.0,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,7.0,1,test,B,spéciale/unique,4.108000000000004,0.0,,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,8.0,10,test,B,respectable/honorable,2.028000000000006,0.0,,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,9.0,8,test,B,difficile/impossible,2.103000000000008,0.0,,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,10.0,14,test,NB,vieux/ancien,6.8370000000000175,0.0,,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,11.0,4,test,B,mémorable/inoubliable,13.186999999999983,0.0,,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,12.0,15,test,NB,gros/énorme,4.790999999999997,0.0,,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,13.0,27,filler-true,,léger/lourd,2.643999999999977,,1.0,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,14.0,12,test,NB,fatigué/épuisé,8.640999999999991,1.0,,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,15.0,7,test,B,triste/abattu,12.025000000000006,0.0,,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,16.0,44,filler-false,,stupide/inquiet,5.575000000000017,,1.0,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,17.0,3,test,B,dure/insoluble,7.212000000000017,0.0,,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,18.0,30,filler-true,,fermé/ouvert,2.176000000000016,,1.0,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,19.0,2,test,B,faible/vide,6.472999999999985,1.0,,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,20.0,39,filler-false,,fâché/raisonnable,6.224999999999994,,1.0,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,21.0,36,filler-false,,timide/curieux,6.171999999999997,,0.0,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,22.0,37,filler-false,,fou/dangereux,2.276999999999987,,1.0,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,23.0,35,filler-false,,joli/fort,2.104999999999961,,1.0,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,24.0,22,test,NB,intelligent/brilliant,3.146999999999991,0.0,,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,25.0,5,test,B,calme/inaudible,3.756000000000028,1.0,,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,26.0,21,test,NB,moche/hideux,11.406999999999982,0.0,,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,27.0,38,filler-false,,effrayant/marron,5.506000000000029,,1.0,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,28.0,13,test,NB,goûteux/délicieux,2.920000000000016,0.0,,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,29.0,26,filler-true,,superficiel/profond,8.884000000000015,,0.0,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,30.0,34,filler-false,,large/colorée,2.163999999999987,,1.0,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,31.0,25,filler-true,,pauvre/riche,1.552000000000021,,1.0,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,32.0,28,filler-true,,petit/grand,2.822999999999979,,1.0,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,33.0,20,test,NB,drôle/hilarant,1.851999999999975,0.0,,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,34.0,9,test,B,bon/parfait,3.093999999999994,0.0,,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,35.0,11,test,B,vif/éblouissant,4.6229999999999905,0.0,,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,36.0,40,filler-false,,cher/ennuyeuse,3.766000000000019,,1.0,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,37.0,42,filler-false,,jeune/sérieux,1.552000000000021,,1.0,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,38.0,19,test,NB,mignon/beau,1.790999999999996,0.0,,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,39.0,32,filler-true,,froid/chaud,1.5060000000000282,,1.0,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,40.0,16,test,NB,gras/obèse,5.222000000000037,0.0,,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,41.0,6,test,B,mouillé/trempé,4.132000000000005,1.0,,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,42.0,41,filler-false,,doux/fin,2.920000000000016,,1.0,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,43.0,24,filler-true,,sale/propre,1.380999999999971,,0.0,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,,,,,,,,,,,,,
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,,,,,,,,,0.0,semonce,word,0.0,1.116000000000042
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,,,,,,,,,1.0,pouce,word,1.0,0.8520000000000321
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,,,,,,,,,2.0,hache,word,1.0,1.040999999999996
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,,,,,,,,,3.0,cadenas,word,1.0,1.866000000000042
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,,,,,,,,,4.0,écureuil,word,1.0,1.9990000000000232
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,,,,,,,,,5.0,remporter,word,1.0,1.033999999999991
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,,,,,,,,,6.0,rejoute,nonword,0.0,1.197000000000002
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,,,,,,,,,7.0,alourdir,word,1.0,2.316000000000031
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,,,,,,,,,8.0,joueux,nonword,0.0,1.281999999999982
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,,,,,,,,,9.0,réporce,nonword,1.0,2.661999999999977
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,,,,,,,,,10.0,procoreux,nonword,1.0,2.161000000000001
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,,,,,,,,,11.0,ennemi,word,1.0,1.228999999999985
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,,,,,,,,,12.0,amadouer,word,0.0,1.5609999999999782
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,,,,,,,,,13.0,lanière,word,0.0,1.196000000000026
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,,,,,,,,,14.0,clouer,word,1.0,1.012
learner,R_8EiHjQ4aR6MlgpK,2025-04-23_12h40.33.774,,,,,,,,,,15.0,panier,word,1.0,2.329000000000007
