group,participant,date,practice.thisTrialN,implicatures.thisTrialN,id,condition,scale_type,scale_term,respSI_RT.rt,respSI_RT.implicature,respSI_RT.corr,lexTALE.thisTrialN,word,status,respLDT.corr,respLDT.rt
learner,R_8LG3e1xZ93vxs5J,2025-04-25_10h38.32.562,,,,,,,,,,,,,,
learner,R_8LG3e1xZ93vxs5J,2025-04-25_10h38.32.562,,,,,,,,,,,,,,
learner,R_8LG3e1xZ93vxs5J,2025-04-25_10h38.32.562,0.0,,b,filler-true,,proche/lointain,4.1370000000000005,,0.0,,,,,
learner,R_8LG3e1xZ93vxs5J,2025-04-25_10h38.32.562,1.0,,a,test,B,longue/interminable,2.408999999999992,1.0,,,,,,
learner,R_8LG3e1xZ93vxs5J,2025-04-25_10h38.32.562,2.0,,c,filler-false,,égoïste/petit,4.396000000000015,,1.0,,,,,
learner,R_8LG3e1xZ93vxs5J,2025-04-25_10h38.32.562,,,,,,,,,,,,,,
learner,R_8LG3e1xZ93vxs5J,2025-04-25_10h38.32.562,,0.0,13,test,NB,goûteux/délicieux,4.6910000000000025,0.0,,,,,,
learner,R_8LG3e1xZ93vxs5J,2025-04-25_10h38.32.562,,1.0,16,test,NB,gras/obèse,4.003999999999991,0.0,,,,,,
learner,R_8LG3e1xZ93vxs5J,2025-04-25_10h38.32.562,,2.0,8,test,B,difficile/impossible,13.873999999999995,1.0,,,,,,
learner,R_8LG3e1xZ93vxs5J,2025-04-25_10h38.32.562,,3.0,18,test,NB,beau/sublime,3.124000000000023,0.0,,,,,,
learner,R_8LG3e1xZ93vxs5J,2025-04-25_10h38.32.562,,4.0,20,test,NB,drôle/hilarant,2.456999999999993,0.0,,,,,,
learner,R_8LG3e1xZ93vxs5J,2025-04-25_10h38.32.562,,5.0,23,filler-true,,lent/rapide,2.274000000000001,,1.0,,,,,
learner,R_8LG3e1xZ93vxs5J,2025-04-25_10h38.32.562,,6.0,43,filler-false,,poli/pressé,6.540999999999997,,1.0,,,,,
learner,R_8LG3e1xZ93vxs5J,2025-04-25_10h38.32.562,,7.0,26,filler-true,,superficiel/profond,3.135999999999995,,1.0,,,,,
learner,R_8LG3e1xZ93vxs5J,2025-04-25_10h38.32.562,,8.0,35,filler-false,,joli/fort,2.938999999999993,,1.0,,,,,
learner,R_8LG3e1xZ93vxs5J,2025-04-25_10h38.32.562,,9.0,41,filler-false,,doux/fin,4.770999999999987,,1.0,,,,,
learner,R_8LG3e1xZ93vxs5J,2025-04-25_10h38.32.562,,10.0,2,test,B,faible/vide,6.010000000000019,1.0,,,,,,
learner,R_8LG3e1xZ93vxs5J,2025-04-25_10h38.32.562,,11.0,25,filler-true,,pauvre/riche,3.41500000000002,,1.0,,,,,
learner,R_8LG3e1xZ93vxs5J,2025-04-25_10h38.32.562,,12.0,32,filler-true,,froid/chaud,3.104999999999989,,1.0,,,,,
learner,R_8LG3e1xZ93vxs5J,2025-04-25_10h38.32.562,,13.0,12,test,NB,fatigué/épuisé,4.563999999999993,1.0,,,,,,
learner,R_8LG3e1xZ93vxs5J,2025-04-25_10h38.32.562,,14.0,5,test,B,calme/inaudible,5.354000000000013,0.0,,,,,,
learner,R_8LG3e1xZ93vxs5J,2025-04-25_10h38.32.562,,15.0,42,filler-false,,jeune/sérieux,3.709000000000003,,1.0,,,,,
learner,R_8LG3e1xZ93vxs5J,2025-04-25_10h38.32.562,,16.0,44,filler-false,,stupide/inquiet,3.418000000000006,,1.0,,,,,
learner,R_8LG3e1xZ93vxs5J,2025-04-25_10h38.32.562,,17.0,17,test,NB,a faim/affamé,5.890999999999991,1.0,,,,,,
learner,R_8LG3e1xZ93vxs5J,2025-04-25_10h38.32.562,,18.0,33,filler-true,,actif/paresseux,4.688000000000017,,0.0,,,,,
learner,R_8LG3e1xZ93vxs5J,2025-04-25_10h38.32.562,,19.0,40,filler-false,,cher/ennuyeuse,2.6709999999999923,,1.0,,,,,
learner,R_8LG3e1xZ93vxs5J,2025-04-25_10h38.32.562,,20.0,36,filler-false,,timide/curieux,6.774999999999977,,1.0,,,,,
learner,R_8LG3e1xZ93vxs5J,2025-04-25_10h38.32.562,,21.0,9,test,B,bon/parfait,7.195999999999998,1.0,,,,,,
learner,R_8LG3e1xZ93vxs5J,2025-04-25_10h38.32.562,,22.0,28,filler-true,,petit/grand,1.48599999999999,,1.0,,,,,
learner,R_8LG3e1xZ93vxs5J,2025-04-25_10h38.32.562,,23.0,19,test,NB,mignon/beau,4.861000000000018,0.0,,,,,,
