group,participant,date,practice.thisTrialN,implicatures.thisTrialN,id,condition,scale_type,scale_term,respSI_RT.rt,respSI_RT.implicature,respSI_RT.corr,lexTALE.thisTrialN,word,status,respLDT.corr,respLDT.rt
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,0.0,,a,test,B,longue/interminable,5.699999999999996,0.0,,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,1.0,,b,filler-true,,proche/lointain,6.103999999999999,,1.0,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,2.0,,c,filler-false,,égoïste/petit,5.870999999999995,,1.0,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,0.0,36,filler-false,,timide/curieux,3.75399999999999,,0.0,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,1.0,33,filler-true,,actif/paresseux,4.787000000000006,,1.0,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,2.0,3,test,B,dure/insoluble,9.669999999999987,1.0,,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,3.0,14,test,NB,vieux/ancien,1.969999999999998,0.0,,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,4.0,5,test,B,calme/inaudible,5.9220000000000255,1.0,,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,5.0,2,test,B,faible/vide,3.3739999999999952,1.0,,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,6.0,16,test,NB,gras/obèse,5.796999999999997,0.0,,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,7.0,25,filler-true,,pauvre/riche,1.7370000000000232,,1.0,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,8.0,30,filler-true,,fermé/ouvert,1.653999999999996,,1.0,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,9.0,12,test,NB,fatigué/épuisé,3.572999999999979,0.0,,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,10.0,18,test,NB,beau/sublime,7.254000000000019,0.0,,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,11.0,4,test,B,mémorable/inoubliable,13.308999999999997,0.0,,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,12.0,42,filler-false,,jeune/sérieux,2.501000000000004,,1.0,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,13.0,31,filler-true,,noir/blanc,1.171999999999997,,1.0,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,14.0,20,test,NB,drôle/hilarant,2.037999999999954,0.0,,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,15.0,28,filler-true,,petit/grand,1.373000000000018,,1.0,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,16.0,23,filler-true,,lent/rapide,2.383999999999986,,1.0,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,17.0,37,filler-false,,fou/dangereux,2.558000000000021,,1.0,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,18.0,43,filler-false,,poli/pressé,2.853000000000037,,0.0,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,19.0,13,test,NB,goûteux/délicieux,6.02200000000002,0.0,,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,20.0,39,filler-false,,fâché/raisonnable,2.205999999999989,,0.0,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,21.0,24,filler-true,,sale/propre,4.856000000000023,,0.0,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,22.0,29,filler-true,,gentil/méchant,1.840000000000003,,1.0,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,23.0,11,test,B,vif/éblouissant,9.122000000000014,1.0,,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,24.0,44,filler-false,,stupide/inquiet,2.205000000000012,,1.0,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,25.0,1,test,B,spéciale/unique,2.468999999999994,0.0,,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,26.0,38,filler-false,,effrayant/marron,4.055000000000007,,0.0,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,27.0,10,test,B,respectable/honorable,2.936999999999983,0.0,,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,28.0,35,filler-false,,joli/fort,3.437000000000012,,1.0,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,29.0,19,test,NB,mignon/beau,3.098000000000013,0.0,,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,30.0,34,filler-false,,large/colorée,3.185999999999978,,1.0,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,31.0,27,filler-true,,léger/lourd,3.373000000000047,,1.0,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,32.0,8,test,B,difficile/impossible,7.988999999999976,1.0,,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,33.0,17,test,NB,a faim/affamé,3.773000000000081,0.0,,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,34.0,41,filler-false,,doux/fin,3.975000000000022,,1.0,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,35.0,21,test,NB,moche/hideux,2.255999999999972,1.0,,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,36.0,6,test,B,mouillé/trempé,1.487999999999999,1.0,,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,37.0,26,filler-true,,superficiel/profond,8.755999999999972,,1.0,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,38.0,9,test,B,bon/parfait,4.390000000000043,1.0,,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,39.0,22,test,NB,intelligent/brilliant,4.704999999999984,1.0,,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,40.0,40,filler-false,,cher/ennuyeuse,2.257999999999981,,1.0,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,41.0,15,test,NB,gros/énorme,1.972000000000036,0.0,,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,42.0,32,filler-true,,froid/chaud,2.887,,1.0,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,43.0,7,test,B,triste/abattu,1.456000000000017,1.0,,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,,,,,
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,0.0,fourmi,word,1.0,2.064999999999997
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,1.0,mappemonde,word,0.0,0.9830000000000041
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,2.0,cerveler,nonword,0.0,0.73399999999998
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,3.0,lézard,word,1.0,1.184000000000026
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,4.0,jamain,nonword,0.0,0.8489999999999891
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,5.0,canoter,word,1.0,1.348999999999989
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,6.0,alourdir,word,1.0,1.052999999999997
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,7.0,amadouer,word,0.0,0.7989999999999781
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,8.0,retruire,nonword,0.0,0.98599999999999
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,9.0,orgueil,word,1.0,1.215000000000031
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,10.0,endifier,nonword,1.0,1.298999999999978
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,11.0,détume,nonword,1.0,3.350999999999999
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,12.0,raplaner,nonword,1.0,1.048999999999978
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,13.0,cadenas,word,0.0,0.8989999999999441
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,14.0,bouilloire,word,1.0,0.63499999999999
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,15.0,fascine,word,1.0,0.6669999999999731
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,16.0,sacher,nonword,0.0,0.785000000000025
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,17.0,fouet,word,1.0,1.250999999999976
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,18.0,pouce,word,1.0,0.9490000000000121
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,19.0,tanin,word,0.0,0.632999999999981
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,20.0,racaille,word,0.0,1.265999999999905
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,21.0,écouce,nonword,0.0,1.216000000000008
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,22.0,église,word,1.0,0.5989999999999891
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,23.0,osseaux,nonword,0.0,0.9499999999999881
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,24.0,dauphin,word,1.0,1.25
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,25.0,amorce,word,0.0,0.883999999999957
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,26.0,prioche,nonword,0.0,1.000999999999976
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,27.0,bouton,word,1.0,0.8659999999999851
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,28.0,plaiser,nonword,0.0,1.748999999999966
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,29.0,caddie,word,0.0,1.066000000000031
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,30.0,remporter,word,1.0,0.93100000000004
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,31.0,procoreux,nonword,0.0,2.015999999999962
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,32.0,écureuil,word,0.0,1.3170000000000641
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,33.0,vicelard,word,0.0,0.8499999999999651
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,34.0,agire,nonword,0.0,0.932000000000016
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,35.0,réporce,nonword,0.0,0.5989999999999891
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,36.0,pourcine,nonword,1.0,0.8810000000000281
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,37.0,capeline,word,0.0,1.16700000000003
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,38.0,fosse,word,1.0,0.783000000000015
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,39.0,lanière,word,1.0,1.514999999999929
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,40.0,fenêtre,word,1.0,0.93100000000004
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,41.0,salière,word,1.0,0.932000000000016
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,42.0,soumon,nonword,1.0,1.146000000000015
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,43.0,cheveux,word,1.0,0.7490000000000231
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,44.0,poisson,word,1.0,1.050000000000011
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,45.0,joueux,nonword,0.0,0.9669999999999841
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,46.0,sentuelle,nonword,0.0,2.115999999999985
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,47.0,oeuiller,nonword,0.0,0.9830000000000041
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,48.0,cessure,nonword,1.0,0.56600000000003
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,49.0,indicible,word,0.0,1.050000000000011
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,50.0,marteau,word,0.0,0.7660000000000191
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,51.0,honteur,nonword,1.0,0.948000000000035
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,52.0,escroc,word,0.0,0.786000000000001
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,53.0,cloche,word,1.0,0.6829999999999921
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,54.0,robinet,word,1.0,0.632999999999981
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,55.0,infâme,word,1.0,0.750999999999976
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,56.0,chameau,word,0.0,0.8670000000000181
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,57.0,huif,nonword,0.0,0.8700000000000041
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,58.0,parir,nonword,0.0,0.81600000000003
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,59.0,treillage,word,0.0,1.165999999999996
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,60.0,hache,word,1.0,1.016000000000019
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,61.0,œillet,word,1.0,0.748999999999966
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,62.0,peigne,word,1.0,0.7660000000000191
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,63.0,semonce,word,0.0,0.7660000000000191
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,64.0,occire,word,0.0,0.764999999999986
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,65.0,clouer,word,1.0,0.9149999999999631
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,66.0,panier,word,0.0,0.617999999999995
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,67.0,metter,nonword,0.0,0.6999999999999881
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,68.0,cintre,word,1.0,0.6360000000000241
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,69.0,parchance,nonword,1.0,2.901999999999987
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,70.0,pinceau,word,0.0,0.8149999999999971
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,71.0,ennemi,word,1.0,1.014999999999986
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,72.0,mignon,word,1.0,0.6350000000000471
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,73.0,crayon,word,1.0,0.632999999999981
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,74.0,éventail,word,0.0,2.8859999999999673
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,75.0,esquif,word,0.0,1.317000000000007
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,76.0,boutard,nonword,0.0,0.6520000000000431
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,77.0,rejoute,nonword,0.0,0.6680000000000631
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,78.0,nouer,word,1.0,0.8670000000000181
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,79.0,citrouille,word,0.0,1.016000000000019
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,80.0,balai,word,0.0,0.7379999999999991
learner,R_8MyXyf39Sdf75uL,2025-04-23_12h39.55.109,,,,,,,,,,81.0,abêtir,word,1.0,0.9020000000001
