group,participant,date,practice.thisTrialN,implicatures.thisTrialN,id,condition,scale_type,scale_term,respSI_RT.rt,respSI_RT.implicature,respSI_RT.corr,lexTALE.thisTrialN,word,status,respLDT.corr,respLDT.rt
learner,R_8QutkG69xANrknT,2025-04-23_11h02.47.066,,,,,,,,,,,,,,
learner,R_8QutkG69xANrknT,2025-04-23_11h02.47.066,,,,,,,,,,,,,,
learner,R_8QutkG69xANrknT,2025-04-23_11h02.47.066,0.0,,a,test,B,longue/interminable,10.494900000035756,0.0,,,,,,
learner,R_8QutkG69xANrknT,2025-04-23_11h02.47.066,1.0,,c,filler-false,,égoïste/petit,4.888199999988089,,1.0,,,,,
learner,R_8QutkG69xANrknT,2025-04-23_11h02.47.066,2.0,,b,filler-true,,proche/lointain,4.235099999964234,,1.0,,,,,
learner,R_8QutkG69xANrknT,2025-04-23_11h02.47.066,,,,,,,,,,,,,,
learner,R_8QutkG69xANrknT,2025-04-23_11h02.47.066,,0.0,26,filler-true,,superficiel/profond,2.770700000047682,,1.0,,,,,
learner,R_8QutkG69xANrknT,2025-04-23_11h02.47.066,,1.0,43,filler-false,,poli/pressé,2.9173000000119202,,0.0,,,,,
learner,R_8QutkG69xANrknT,2025-04-23_11h02.47.066,,2.0,9,test,B,bon/parfait,25.946300000011945,0.0,,,,,,
learner,R_8QutkG69xANrknT,2025-04-23_11h02.47.066,,3.0,30,filler-true,,fermé/ouvert,2.776600000023847,,1.0,,,,,
learner,R_8QutkG69xANrknT,2025-04-23_11h02.47.066,,4.0,4,test,B,mémorable/inoubliable,6.636600000023833,0.0,,,,,,
learner,R_8QutkG69xANrknT,2025-04-23_11h02.47.066,,5.0,22,test,NB,intelligent/brilliant,1.7991999999880761,0.0,,,,,,
learner,R_8QutkG69xANrknT,2025-04-23_11h02.47.066,,6.0,11,test,B,vif/éblouissant,8.740800000011916,0.0,,,,,,
learner,R_8QutkG69xANrknT,2025-04-23_11h02.47.066,,7.0,2,test,B,faible/vide,11.04269999998806,0.0,,,,,,
