group,participant,date,practice.thisTrialN,implicatures.thisTrialN,id,condition,scale_type,scale_term,respSI_RT.rt,respSI_RT.implicature,respSI_RT.corr,lexTALE.thisTrialN,word,status,respLDT.corr,respLDT.rt
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,0.0,,a,test,B,longue/interminable,52.266899999856946,1.0,,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,1.0,,b,filler-true,,proche/lointain,8.943799999952319,,1.0,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,2.0,,c,filler-false,,égoïste/petit,2.458700000047656,,1.0,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,0.0,9,test,B,bon/parfait,6.825599999904625,0.0,,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,1.0,40,filler-false,,cher/ennuyeuse,4.801599999904624,,1.0,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,2.0,44,filler-false,,stupide/inquiet,11.407899999856966,,1.0,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,3.0,17,test,NB,a faim/affamé,11.603899999856935,0.0,,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,4.0,38,filler-false,,effrayant/marron,10.723100000143035,,1.0,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,5.0,15,test,NB,gros/énorme,6.689299999952311,0.0,,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,6.0,27,filler-true,,léger/lourd,6.550499999999999,,1.0,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,7.0,12,test,NB,fatigué/épuisé,12.535500000000013,0.0,,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,8.0,41,filler-false,,doux/fin,5.137700000047687,,1.0,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,9.0,21,test,NB,moche/hideux,10.662100000143084,0.0,,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,10.0,2,test,B,faible/vide,2.2987000000476883,0.0,,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,11.0,14,test,NB,vieux/ancien,15.466599999904645,0.0,,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,12.0,39,filler-false,,fâché/raisonnable,3.006399999856967,,1.0,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,13.0,18,test,NB,beau/sublime,3.9203999998569543,0.0,,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,14.0,10,test,B,respectable/honorable,4.650799999952312,0.0,,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,15.0,32,filler-true,,froid/chaud,4.907900000095367,,1.0,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,16.0,29,filler-true,,gentil/méchant,11.119699999809256,,1.0,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,17.0,43,filler-false,,poli/pressé,4.584000000000003,,0.0,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,18.0,24,filler-true,,sale/propre,5.744299999952318,,0.0,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,19.0,19,test,NB,mignon/beau,2.293799999952341,0.0,,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,20.0,11,test,B,vif/éblouissant,4.037799999952313,0.0,,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,21.0,31,filler-true,,noir/blanc,3.175999999999987,,1.0,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,22.0,25,filler-true,,pauvre/riche,2.290700000047707,,1.0,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,23.0,36,filler-false,,timide/curieux,8.010299999952338,,1.0,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,24.0,20,test,NB,drôle/hilarant,3.223700000047643,0.0,,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,25.0,5,test,B,calme/inaudible,6.36990000009547,0.0,,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,26.0,37,filler-false,,fou/dangereux,1.841999999999984,,1.0,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,27.0,13,test,NB,goûteux/délicieux,5.101099999904591,0.0,,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,28.0,33,filler-true,,actif/paresseux,4.083099999904675,,1.0,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,29.0,30,filler-true,,fermé/ouvert,3.217199999809281,,1.0,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,30.0,35,filler-false,,joli/fort,2.709899999857043,,1.0,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,31.0,3,test,B,dure/insoluble,4.903400000095303,1.0,,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,32.0,4,test,B,mémorable/inoubliable,5.336600000142994,0.0,,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,33.0,26,filler-true,,superficiel/profond,2.400400000095374,,1.0,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,34.0,16,test,NB,gras/obèse,4.299400000095375,0.0,,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,35.0,7,test,B,triste/abattu,2.771200000047656,0.0,,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,36.0,8,test,B,difficile/impossible,3.750599999904693,0.0,,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,37.0,6,test,B,mouillé/trempé,1.138300000190724,0.0,,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,38.0,28,filler-true,,petit/grand,1.4392999999523681,,1.0,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,39.0,22,test,NB,intelligent/brilliant,5.454999999999927,0.0,,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,40.0,42,filler-false,,jeune/sérieux,1.105700000047704,,1.0,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,41.0,1,test,B,spéciale/unique,3.407400000095435,0.0,,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,42.0,23,filler-true,,lent/rapide,2.850699999809194,,1.0,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,43.0,34,filler-false,,large/colorée,1.65300000000002,,1.0,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,,,,,
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,0.0,église,word,1.0,1.838200000047663
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,1.0,fourmi,word,0.0,2.329400000095347
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,2.0,treillage,word,0.0,2.53269999980921
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,3.0,parchance,nonword,0.0,4.4714000000954
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,4.0,huif,nonword,1.0,2.242399999856957
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,5.0,fouet,word,1.0,1.394100000142998
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,6.0,gloque,nonword,1.0,1.6577999999523172
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,7.0,orgueil,word,0.0,0.9177000000476021
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,8.0,vicelard,word,0.0,1.274200000047699
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,9.0,capeline,word,0.0,1.20559999990462
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,10.0,remporter,word,1.0,0.9110000000000581
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,11.0,cheveux,word,1.0,0.674099999904569
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,12.0,fascine,word,0.0,2.722199999809277
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,13.0,honteur,nonword,0.0,1.033599999904595
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,14.0,mappemonde,word,0.0,1.444799999952351
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,15.0,nouer,word,1.0,1.2982000000477
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,16.0,osseaux,nonword,1.0,2.2759000000954748
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,17.0,alourdir,word,0.0,0.875100000142992
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,18.0,metter,nonword,0.0,0.878100000143035
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,19.0,robinet,word,1.0,1.350899999856892
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,20.0,balai,word,0.0,1.29849999999999
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,21.0,sentuelle,nonword,1.0,3.206200000047715
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,22.0,racaille,word,0.0,1.152599999904623
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,23.0,lanière,word,0.0,0.817799999952285
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,24.0,écureuil,word,0.0,0.6832999999522821
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,25.0,amorce,word,1.0,2.860900000095398
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,26.0,salière,word,0.0,2.959799999952224
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,27.0,amadouer,word,0.0,0.707200000047691
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,28.0,prioche,nonword,1.0,2.50159999990467
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,29.0,cloche,word,1.0,1.545000000000072
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,30.0,jamain,nonword,1.0,1.435700000047631
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,31.0,escroc,word,0.0,0.855099999904609
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,32.0,inciter,word,1.0,1.266200000047774
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,33.0,semonce,word,0.0,1.197900000095273
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,34.0,pourcine,nonword,1.0,1.088400000095362
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,35.0,hache,word,1.0,0.9881000001430491
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,36.0,mignon,word,1.0,0.71339999985696
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,37.0,citrouille,word,0.0,1.834400000095342
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,38.0,panier,word,0.0,0.6962999999523161
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,39.0,bouton,word,1.0,1.046900000095433
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,40.0,raplaner,nonword,1.0,1.523100000143017
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,41.0,parir,nonword,1.0,0.770299999952271
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,42.0,cerveler,nonword,1.0,1.054299999952377
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,43.0,soumon,nonword,1.0,0.6610999999046491
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,44.0,joueux,nonword,0.0,1.160499999999956
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,45.0,procoreux,nonword,1.0,1.473099999904661
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,46.0,éventail,word,0.0,0.884600000143109
learner,R_8bDY6QnIcsPtFSh,2025-04-23_11h02.33.695,,,,,,,,,,47.0,bouilloire,word,1.0,1.535399999856963
