group,participant,date,practice.thisTrialN,implicatures.thisTrialN,id,condition,scale_type,scale_term,respSI_RT.rt,respSI_RT.implicature,respSI_RT.corr,lexTALE.thisTrialN,word,status,respLDT.corr,respLDT.rt
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,,,,,,,,,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,,,,,,,,,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,0.0,,b,filler-true,,proche/lointain,7.052999999999997,,1.0,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,1.0,,a,test,B,longue/interminable,8.414099999994036,0.0,,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,2.0,,c,filler-false,,égoïste/petit,5.579899999991071,,1.0,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,,,,,,,,,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,0.0,5,test,B,calme/inaudible,7.084700000002982,0.0,,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,1.0,44,filler-false,,stupide/inquiet,5.6803000000119255,,1.0,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,2.0,10,test,B,respectable/honorable,5.120099999994039,0.0,,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,3.0,30,filler-true,,fermé/ouvert,3.179700000002981,,1.0,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,4.0,34,filler-false,,large/colorée,2.6624999999999943,,1.0,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,5.0,37,filler-false,,fou/dangereux,3.001699999988091,,1.0,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,6.0,8,test,B,difficile/impossible,7.451999999999998,0.0,,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,7.0,11,test,B,vif/éblouissant,6.9352999999969995,1.0,,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,8.0,42,filler-false,,jeune/sérieux,1.802000000000021,,1.0,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,9.0,38,filler-false,,effrayant/marron,3.179300000011892,,1.0,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,10.0,9,test,B,bon/parfait,13.818900000005954,0.0,,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,11.0,25,filler-true,,pauvre/riche,2.969200000003013,,1.0,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,12.0,41,filler-false,,doux/fin,5.753200000003005,,0.0,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,13.0,7,test,B,triste/abattu,8.834499999999991,0.0,,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,14.0,31,filler-true,,noir/blanc,6.387999999999977,,1.0,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,15.0,40,filler-false,,cher/ennuyeuse,3.578499999999962,,1.0,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,16.0,24,filler-true,,sale/propre,3.101400000005924,,0.0,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,17.0,18,test,NB,beau/sublime,5.645600000008926,0.0,,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,18.0,33,filler-true,,actif/paresseux,2.669700000002933,,1.0,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,19.0,39,filler-false,,fâché/raisonnable,7.237299999997049,,1.0,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,20.0,14,test,NB,vieux/ancien,8.802899999991098,0.0,,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,21.0,1,test,B,spéciale/unique,6.110299999997039,0.0,,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,22.0,2,test,B,faible/vide,7.451299999996991,1.0,,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,23.0,12,test,NB,fatigué/épuisé,3.9798000000119482,0.0,,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,24.0,3,test,B,dure/insoluble,3.529999999999972,0.0,,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,25.0,20,test,NB,drôle/hilarant,3.452899999991075,0.0,,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,26.0,29,filler-true,,gentil/méchant,6.801900000005958,,1.0,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,27.0,32,filler-true,,froid/chaud,1.9645999999939932,,1.0,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,28.0,17,test,NB,a faim/affamé,1.801799999997058,0.0,,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,29.0,16,test,NB,gras/obèse,3.602200000002938,0.0,,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,30.0,23,filler-true,,lent/rapide,1.531400000005931,,1.0,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,31.0,19,test,NB,mignon/beau,1.844299999997019,0.0,,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,32.0,22,test,NB,intelligent/brilliant,1.739900000006002,0.0,,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,33.0,13,test,NB,goûteux/délicieux,1.6879999999999882,0.0,,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,34.0,43,filler-false,,poli/pressé,1.586500000000001,,1.0,,,,,
learner,R_8cjqwmXtaFB2s01,2025-04-23_11h03.38.115,,35.0,6,test,B,mouillé/trempé,2.847700000002987,0.0,,,,,,
