group,participant,date,practice.thisTrialN,implicatures.thisTrialN,id,condition,scale_type,scale_term,respSI_RT.rt,respSI_RT.implicature,respSI_RT.corr,lexTALE.thisTrialN,word,status,respLDT.corr,respLDT.rt
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,,,,,,,,,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,,,,,,,,,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,0.0,,b,filler-true,,proche/lointain,9.476000000000006,,1.0,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,1.0,,c,filler-false,,égoïste/petit,3.146000000000001,,1.0,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,2.0,,a,test,B,longue/interminable,5.825000000000003,0.0,,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,,,,,,,,,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,0.0,25,filler-true,,pauvre/riche,3.923999999999999,,1.0,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,1.0,24,filler-true,,sale/propre,3.451000000000007,,0.0,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,2.0,13,test,NB,goûteux/délicieux,4.221000000000004,0.0,,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,3.0,4,test,B,mémorable/inoubliable,2.723999999999989,0.0,,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,4.0,34,filler-false,,large/colorée,3.817999999999998,,1.0,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,5.0,40,filler-false,,cher/ennuyeuse,3.864999999999995,,0.0,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,6.0,15,test,NB,gros/énorme,4.308000000000007,0.0,,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,7.0,2,test,B,faible/vide,3.766999999999996,0.0,,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,8.0,27,filler-true,,léger/lourd,1.874000000000009,,1.0,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,9.0,21,test,NB,moche/hideux,3.287000000000006,0.0,,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,10.0,33,filler-true,,actif/paresseux,1.947999999999993,,1.0,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,11.0,1,test,B,spéciale/unique,4.3799999999999955,0.0,,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,12.0,3,test,B,dure/insoluble,6.090000000000003,0.0,,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,13.0,37,filler-false,,fou/dangereux,5.328000000000003,,1.0,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,14.0,29,filler-true,,gentil/méchant,1.673000000000001,,1.0,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,15.0,30,filler-true,,fermé/ouvert,2.725999999999999,,1.0,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,16.0,22,test,NB,intelligent/brilliant,2.414000000000015,0.0,,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,17.0,10,test,B,respectable/honorable,2.799000000000006,0.0,,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,18.0,41,filler-false,,doux/fin,8.478999999999985,,1.0,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,19.0,12,test,NB,fatigué/épuisé,2.301000000000016,1.0,,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,20.0,42,filler-false,,jeune/sérieux,3.509999999999991,,0.0,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,21.0,39,filler-false,,fâché/raisonnable,2.457999999999998,,1.0,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,22.0,19,test,NB,mignon/beau,1.242999999999995,0.0,,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,23.0,9,test,B,bon/parfait,4.558999999999969,1.0,,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,24.0,6,test,B,mouillé/trempé,2.058999999999997,0.0,,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,25.0,35,filler-false,,joli/fort,0.9819999999999991,,1.0,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,26.0,26,filler-true,,superficiel/profond,2.409999999999996,,1.0,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,27.0,14,test,NB,vieux/ancien,3.066999999999979,0.0,,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,28.0,7,test,B,triste/abattu,1.776999999999986,0.0,,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,29.0,43,filler-false,,poli/pressé,3.424999999999983,,1.0,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,30.0,17,test,NB,a faim/affamé,1.810000000000002,1.0,,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,31.0,32,filler-true,,froid/chaud,3.087999999999994,,1.0,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,32.0,38,filler-false,,effrayant/marron,2.075000000000017,,1.0,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,33.0,36,filler-false,,timide/curieux,2.502000000000009,,1.0,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,34.0,18,test,NB,beau/sublime,1.375,0.0,,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,35.0,11,test,B,vif/éblouissant,0.9249999999999831,1.0,,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,36.0,16,test,NB,gras/obèse,2.159999999999996,0.0,,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,37.0,44,filler-false,,stupide/inquiet,1.413000000000011,,0.0,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,38.0,31,filler-true,,noir/blanc,1.468000000000017,,1.0,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,39.0,8,test,B,difficile/impossible,3.299000000000035,1.0,,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,40.0,5,test,B,calme/inaudible,2.149999999999977,0.0,,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,41.0,23,filler-true,,lent/rapide,1.793000000000006,,1.0,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,42.0,28,filler-true,,petit/grand,1.435000000000002,,0.0,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,43.0,20,test,NB,drôle/hilarant,2.163000000000011,0.0,,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,,,,,,,,,,,,,
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,,,,,,,,,0.0,amorce,word,1.0,3.123999999999967
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,,,,,,,,,1.0,inciter,word,0.0,1.5440000000000391
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,,,,,,,,,2.0,écouce,nonword,1.0,2.300000000000011
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,,,,,,,,,3.0,esquif,word,1.0,1.171999999999968
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,,,,,,,,,4.0,joueux,nonword,1.0,1.603999999999985
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,,,,,,,,,5.0,lanière,word,1.0,1.630000000000052
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,,,,,,,,,6.0,soumon,nonword,1.0,0.911000000000001
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,,,,,,,,,7.0,gloque,nonword,1.0,0.9489999999999551
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,,,,,,,,,8.0,semonce,word,0.0,1.214999999999975
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,,,,,,,,,9.0,raplaner,nonword,1.0,0.813000000000045
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,,,,,,,,,10.0,écureuil,word,1.0,0.8149999999999971
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,,,,,,,,,11.0,pinceau,word,1.0,1.149000000000001
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,,,,,,,,,12.0,mignon,word,1.0,0.7129999999999651
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,,,,,,,,,13.0,ennemi,word,0.0,1.108000000000004
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,,,,,,,,,14.0,endifier,nonword,1.0,0.8239999999999551
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,,,,,,,,,15.0,chameau,word,0.0,0.9809999999999941
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,,,,,,,,,16.0,œillet,word,0.0,1.607000000000027
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,,,,,,,,,17.0,cheveux,word,1.0,0.639999999999986
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,,,,,,,,,18.0,canoter,word,1.0,1.228000000000008
learner,R_8e4i0EPmczJMSRq,2025-04-25_10h42.42.683,,,,,,,,,,19.0,marteau,word,1.0,0.8790000000000191
