group,participant,date,practice.thisTrialN,implicatures.thisTrialN,id,condition,scale_type,scale_term,respSI_RT.rt,respSI_RT.implicature,respSI_RT.corr,lexTALE.thisTrialN,word,status,respLDT.corr,respLDT.rt
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,,,,,,,,,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,,,,,,,,,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,0.0,,c,filler-false,,égoïste/petit,5.690099999994043,,1.0,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,1.0,,a,test,B,longue/interminable,10.61379999999702,0.0,,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,2.0,,b,filler-true,,proche/lointain,2.849900000005959,,1.0,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,,,,,,,,,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,0.0,5,test,B,calme/inaudible,18.104099999994048,1.0,,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,1.0,10,test,B,respectable/honorable,5.966700000002973,0.0,,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,2.0,25,filler-true,,pauvre/riche,3.603000000000008,,1.0,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,3.0,8,test,B,difficile/impossible,7.540300000011911,1.0,,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,4.0,42,filler-false,,jeune/sérieux,2.625,,1.0,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,5.0,19,test,NB,mignon/beau,4.033499999999989,0.0,,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,6.0,34,filler-false,,large/colorée,2.816700000002981,,1.0,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,7.0,31,filler-true,,noir/blanc,3.081999999999993,,1.0,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,8.0,36,filler-false,,timide/curieux,3.974700000002983,,0.0,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,9.0,23,filler-true,,lent/rapide,3.181499999999999,,1.0,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,10.0,12,test,NB,fatigué/épuisé,6.123200000002981,1.0,,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,11.0,29,filler-true,,gentil/méchant,2.752799999997023,,1.0,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,12.0,20,test,NB,drôle/hilarant,3.115499999999997,0.0,,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,13.0,33,filler-true,,actif/paresseux,2.317200000002969,,1.0,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,14.0,1,test,B,spéciale/unique,2.883299999997035,0.0,,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,15.0,24,filler-true,,sale/propre,3.070299999997019,,0.0,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,16.0,35,filler-false,,joli/fort,1.921099999994027,,1.0,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,17.0,40,filler-false,,cher/ennuyeuse,1.565499999999986,,1.0,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,18.0,11,test,B,vif/éblouissant,3.279900000005966,0.0,,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,19.0,38,filler-false,,effrayant/marron,2.666899999991045,,1.0,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,20.0,4,test,B,mémorable/inoubliable,4.450500000000005,0.0,,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,21.0,39,filler-false,,fâché/raisonnable,3.7005000000000052,,0.0,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,22.0,26,filler-true,,superficiel/profond,2.524000000000001,,1.0,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,23.0,2,test,B,faible/vide,3.433999999999997,0.0,,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,24.0,44,filler-false,,stupide/inquiet,6.4824999999999875,,1.0,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,25.0,3,test,B,dure/insoluble,7.523299999997022,1.0,,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,26.0,16,test,NB,gras/obèse,2.934600000008942,0.0,,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,27.0,32,filler-true,,froid/chaud,3.797900000005967,,1.0,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,28.0,15,test,NB,gros/énorme,2.223599999994036,0.0,,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,29.0,30,filler-true,,fermé/ouvert,2.073100000008963,,1.0,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,30.0,7,test,B,triste/abattu,5.881399999991061,0.0,,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,31.0,18,test,NB,beau/sublime,4.167100000008929,0.0,,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,32.0,43,filler-false,,poli/pressé,1.485000000000013,,1.0,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,33.0,21,test,NB,moche/hideux,2.916600000008941,1.0,,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,34.0,28,filler-true,,petit/grand,1.516500000000007,,1.0,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,35.0,37,filler-false,,fou/dangereux,2.867500000000007,,1.0,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,36.0,6,test,B,mouillé/trempé,3.216499999999996,0.0,,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,37.0,22,test,NB,intelligent/brilliant,1.6945999999940682,0.0,,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,38.0,14,test,NB,vieux/ancien,2.666100000008896,0.0,,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,39.0,27,filler-true,,léger/lourd,2.366099999994048,,1.0,,,,,
learner,R_8ejCw7gQW7cKEcp,2025-04-23_12h40.26.418,,40.0,13,test,NB,goûteux/délicieux,3.431100000008939,0.0,,,,,,
