group,participant,date,practice.thisTrialN,implicatures.thisTrialN,id,condition,scale_type,scale_term,respSI_RT.rt,respSI_RT.implicature,respSI_RT.corr,lexTALE.thisTrialN,word,status,respLDT.corr,respLDT.rt
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,,,,,,,,,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,,,,,,,,,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,0.0,,a,test,B,longue/interminable,11.9525,1.0,,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,1.0,,b,filler-true,,proche/lointain,3.48090000000596,,1.0,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,2.0,,c,filler-false,,égoïste/petit,2.724800000011925,,0.0,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,,,,,,,,,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,0.0,9,test,B,bon/parfait,3.5081999999880793,1.0,,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,1.0,29,filler-true,,gentil/méchant,3.961900000005968,,1.0,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,2.0,13,test,NB,goûteux/délicieux,5.36999999999999,0.0,,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,3.0,2,test,B,faible/vide,3.602799999982124,1.0,,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,4.0,24,filler-true,,sale/propre,2.460799999982114,,1.0,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,5.0,15,test,NB,gros/énorme,2.988699999988085,0.0,,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,6.0,44,filler-false,,stupide/inquiet,4.647099999994026,,0.0,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,7.0,42,filler-false,,jeune/sérieux,4.562200000017896,,1.0,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,8.0,20,test,NB,drôle/hilarant,2.902800000011922,0.0,,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,9.0,3,test,B,dure/insoluble,10.855799999982139,0.0,,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,10.0,1,test,B,spéciale/unique,4.437400000005937,1.0,,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,11.0,30,filler-true,,fermé/ouvert,1.674599999994029,,1.0,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,12.0,8,test,B,difficile/impossible,3.984299999982113,0.0,,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,13.0,34,filler-false,,large/colorée,1.919999999999987,,1.0,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,14.0,32,filler-true,,froid/chaud,1.582699999988079,,1.0,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,15.0,10,test,B,respectable/honorable,2.260699999988077,0.0,,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,16.0,27,filler-true,,léger/lourd,2.834900000005973,,0.0,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,17.0,6,test,B,mouillé/trempé,0.45850000000001506,0.0,,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,18.0,16,test,NB,gras/obèse,4.319200000017901,0.0,,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,19.0,5,test,B,calme/inaudible,4.556200000017867,0.0,,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,20.0,17,test,NB,a faim/affamé,3.285199999988066,0.0,,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,21.0,28,filler-true,,petit/grand,1.672599999994048,,1.0,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,22.0,35,filler-false,,joli/fort,3.140899999976142,,1.0,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,23.0,40,filler-false,,cher/ennuyeuse,2.182000000000016,,1.0,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,24.0,4,test,B,mémorable/inoubliable,4.492199999988088,1.0,,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,25.0,7,test,B,triste/abattu,1.9910999999940202,0.0,,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,26.0,26,filler-true,,superficiel/profond,2.514400000005935,,1.0,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,27.0,39,filler-false,,fâché/raisonnable,2.9060999999940402,,1.0,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,28.0,43,filler-false,,poli/pressé,3.7005000000000052,,1.0,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,29.0,19,test,NB,mignon/beau,3.657400000005964,0.0,,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,30.0,25,filler-true,,pauvre/riche,1.348199999988082,,1.0,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,31.0,23,filler-true,,lent/rapide,2.062999999999988,,1.0,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,32.0,11,test,B,vif/éblouissant,4.701199999988091,0.0,,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,33.0,33,filler-true,,actif/paresseux,6.229199999988054,,0.0,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,34.0,41,filler-false,,doux/fin,1.696400000005951,,0.0,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,35.0,36,filler-false,,timide/curieux,2.868999999999971,,0.0,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,36.0,37,filler-false,,fou/dangereux,2.473599999994064,,1.0,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,37.0,22,test,NB,intelligent/brilliant,3.576799999982086,0.0,,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,38.0,38,filler-false,,effrayant/marron,4.356300000011913,,1.0,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,39.0,12,test,NB,fatigué/épuisé,2.29280000001188,0.0,,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,40.0,14,test,NB,vieux/ancien,2.612300000011942,0.0,,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,41.0,18,test,NB,beau/sublime,1.9876999999880811,0.0,,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,42.0,21,test,NB,moche/hideux,2.02600000000001,0.0,,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,43.0,31,filler-true,,noir/blanc,1.564199999988091,,1.0,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,,,,,,,,,,,,,
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,,,,,,,,,0.0,peigne,word,0.0,3.891900000005989
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,,,,,,,,,1.0,dauphin,word,1.0,1.69209999999407
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,,,,,,,,,2.0,orgueil,word,0.0,1.697000000000002
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,,,,,,,,,3.0,joueux,nonword,0.0,0.792300000011891
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,,,,,,,,,4.0,raplaner,nonword,1.0,1.670300000011877
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,,,,,,,,,5.0,canoter,word,1.0,1.800299999982144
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,,,,,,,,,6.0,fascine,word,1.0,3.639499999999998
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,,,,,,,,,7.0,lézard,word,0.0,2.065500000000042
learner,R_8fPjIJCZb7TDK44,2025-04-25_10h43.50.787,,,,,,,,,,8.0,fourmi,word,1.0,1.223400000005995
