group,participant,date,practice.thisTrialN,implicatures.thisTrialN,id,condition,scale_type,scale_term,respSI_RT.rt,respSI_RT.implicature,respSI_RT.corr,lexTALE.thisTrialN,word,status,respLDT.corr,respLDT.rt
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,,,,,,,,,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,,,,,,,,,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,0.0,,c,filler-false,,égoïste/petit,6.131099999994042,,1.0,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,1.0,,a,test,B,longue/interminable,5.882900000005961,0.0,,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,2.0,,b,filler-true,,proche/lointain,3.784000000000006,,1.0,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,,,,,,,,,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,0.0,26,filler-true,,superficiel/profond,10.023800000011917,,1.0,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,1.0,29,filler-true,,gentil/méchant,2.058799999982128,,1.0,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,2.0,42,filler-false,,jeune/sérieux,2.7260000000000133,,1.0,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,3.0,19,test,NB,mignon/beau,2.62179999998213,0.0,,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,4.0,31,filler-true,,noir/blanc,1.27720000001787,,1.0,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,5.0,8,test,B,difficile/impossible,5.910599999994048,1.0,,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,6.0,7,test,B,triste/abattu,5.318299999982116,0.0,,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,7.0,16,test,NB,gras/obèse,4.6830999999940275,0.0,,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,8.0,33,filler-true,,actif/paresseux,3.172700000017897,,1.0,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,9.0,13,test,NB,goûteux/délicieux,3.560900000005944,0.0,,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,10.0,35,filler-false,,joli/fort,5.496600000023847,,1.0,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,11.0,27,filler-true,,léger/lourd,1.281499999999994,,1.0,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,12.0,12,test,NB,fatigué/épuisé,10.033900000005957,0.0,,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,13.0,20,test,NB,drôle/hilarant,2.034199999988061,0.0,,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,14.0,22,test,NB,intelligent/brilliant,1.7774000000059682,0.0,,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,15.0,38,filler-false,,effrayant/marron,3.292999999999978,,1.0,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,16.0,4,test,B,mémorable/inoubliable,8.988800000011935,0.0,,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,17.0,17,test,NB,a faim/affamé,3.868500000000011,0.0,,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,18.0,39,filler-false,,fâché/raisonnable,5.112500000000011,,1.0,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,19.0,10,test,B,respectable/honorable,3.384799999982135,0.0,,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,20.0,11,test,B,vif/éblouissant,4.623199999988088,0.0,,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,21.0,14,test,NB,vieux/ancien,1.988099999994062,0.0,,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,22.0,18,test,NB,beau/sublime,3.2255999999940173,0.0,,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,23.0,24,filler-true,,sale/propre,1.565099999994032,,1.0,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,24.0,5,test,B,calme/inaudible,3.797200000017909,0.0,,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,25.0,30,filler-true,,fermé/ouvert,2.4126999999880923,,1.0,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,26.0,15,test,NB,gros/énorme,1.465199999988101,0.0,,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,27.0,43,filler-false,,poli/pressé,3.406100000023855,,0.0,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,28.0,36,filler-false,,timide/curieux,2.7751000000238832,,1.0,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,29.0,28,filler-true,,petit/grand,1.58390000000594,,1.0,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,30.0,34,filler-false,,large/colorée,1.916300000011915,,1.0,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,31.0,23,filler-true,,lent/rapide,4.9726999999880945,,1.0,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,32.0,2,test,B,faible/vide,4.159600000023886,0.0,,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,33.0,3,test,B,dure/insoluble,5.393700000017873,1.0,,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,34.0,25,filler-true,,pauvre/riche,1.041900000005966,,1.0,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,35.0,32,filler-true,,froid/chaud,2.9117999999821222,,1.0,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,36.0,44,filler-false,,stupide/inquiet,4.1924999999999955,,1.0,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,37.0,21,test,NB,moche/hideux,2.957300000011969,0.0,,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,38.0,1,test,B,spéciale/unique,1.19760000002384,0.0,,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,39.0,9,test,B,bon/parfait,1.464600000023836,0.0,,,,,,
learner,R_8g1MyLmFRFxM3oD,2025-04-23_12h40.07.926,,40.0,6,test,B,mouillé/trempé,5.978499999999997,0.0,,,,,,
