group,participant,date,practice.thisTrialN,implicatures.thisTrialN,id,condition,scale_type,scale_term,respSI_RT.rt,respSI_RT.implicature,respSI_RT.corr,lexTALE.thisTrialN,word,status,respLDT.corr,respLDT.rt
learner,R_8gIlnhPFSe2tfuX,2025-04-25_10h40.12.137,,,,,,,,,,,,,,
learner,R_8gIlnhPFSe2tfuX,2025-04-25_10h40.12.137,,,,,,,,,,,,,,
learner,R_8gIlnhPFSe2tfuX,2025-04-25_10h40.12.137,0.0,,a,test,B,longue/interminable,3.801999999999999,1.0,,,,,,
learner,R_8gIlnhPFSe2tfuX,2025-04-25_10h40.12.137,1.0,,b,filler-true,,proche/lointain,3.472799999952315,,1.0,,,,,
learner,R_8gIlnhPFSe2tfuX,2025-04-25_10h40.12.137,2.0,,c,filler-false,,égoïste/petit,3.233199999928473,,1.0,,,,,
learner,R_8gIlnhPFSe2tfuX,2025-04-25_10h40.12.137,,,,,,,,,,,,,,
learner,R_8gIlnhPFSe2tfuX,2025-04-25_10h40.12.137,,0.0,25,filler-true,,pauvre/riche,2.84880000007152,,1.0,,,,,
learner,R_8gIlnhPFSe2tfuX,2025-04-25_10h40.12.137,,1.0,23,filler-true,,lent/rapide,1.359200000047678,,1.0,,,,,
learner,R_8gIlnhPFSe2tfuX,2025-04-25_10h40.12.137,,2.0,33,filler-true,,actif/paresseux,1.282299999952314,,1.0,,,,,
learner,R_8gIlnhPFSe2tfuX,2025-04-25_10h40.12.137,,3.0,31,filler-true,,noir/blanc,1.5278000000715362,,1.0,,,,,
learner,R_8gIlnhPFSe2tfuX,2025-04-25_10h40.12.137,,4.0,7,test,B,triste/abattu,2.332800000071529,0.0,,,,,,
learner,R_8gIlnhPFSe2tfuX,2025-04-25_10h40.12.137,,5.0,42,filler-false,,jeune/sérieux,1.516199999928474,,1.0,,,,,
learner,R_8gIlnhPFSe2tfuX,2025-04-25_10h40.12.137,,6.0,32,filler-true,,froid/chaud,1.889600000023833,,1.0,,,,,
learner,R_8gIlnhPFSe2tfuX,2025-04-25_10h40.12.137,,7.0,30,filler-true,,fermé/ouvert,1.404600000023833,,1.0,,,,,
learner,R_8gIlnhPFSe2tfuX,2025-04-25_10h40.12.137,,8.0,26,filler-true,,superficiel/profond,2.086500000000001,,1.0,,,,,
learner,R_8gIlnhPFSe2tfuX,2025-04-25_10h40.12.137,,9.0,6,test,B,mouillé/trempé,3.504000000000005,0.0,,,,,,
