group,participant,date,practice.thisTrialN,implicatures.thisTrialN,id,condition,scale_type,scale_term,respSI_RT.rt,respSI_RT.implicature,respSI_RT.corr,lexTALE.thisTrialN,word,status,respLDT.corr,respLDT.rt
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,,,,,,,,,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,,,,,,,,,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,0.0,,c,filler-false,,égoïste/petit,4.243900000095365,,1.0,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,1.0,,a,test,B,longue/interminable,6.564599999904637,1.0,,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,2.0,,b,filler-true,,proche/lointain,4.681900000095368,,1.0,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,,,,,,,,,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,0.0,9,test,B,bon/parfait,13.226500000000001,0.0,,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,1.0,10,test,B,respectable/honorable,6.674999999999997,0.0,,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,2.0,37,filler-false,,fou/dangereux,2.325999999999993,,1.0,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,3.0,38,filler-false,,effrayant/marron,4.975599999904631,,1.0,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,4.0,27,filler-true,,léger/lourd,2.619200000047684,,1.0,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,5.0,31,filler-true,,noir/blanc,1.729900000095369,,1.0,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,6.0,42,filler-false,,jeune/sérieux,1.5822999999523262,,1.0,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,7.0,17,test,NB,a faim/affamé,2.36979999995232,1.0,,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,8.0,18,test,NB,beau/sublime,2.019300000190739,0.0,,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,9.0,11,test,B,vif/éblouissant,2.301200000047672,0.0,,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,10.0,28,filler-true,,petit/grand,2.387400000095368,,1.0,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,11.0,7,test,B,triste/abattu,3.966600000143046,0.0,,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,12.0,6,test,B,mouillé/trempé,0.998500000000007,0.0,,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,13.0,19,test,NB,mignon/beau,2.440500000000014,0.0,,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,14.0,21,test,NB,moche/hideux,1.8511999998092672,1.0,,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,15.0,32,filler-true,,froid/chaud,1.8529000000953602,,1.0,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,16.0,41,filler-false,,doux/fin,5.5364000000953695,,1.0,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,17.0,29,filler-true,,gentil/méchant,6.455199999809281,,1.0,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,18.0,44,filler-false,,stupide/inquiet,2.196999999999974,,1.0,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,19.0,8,test,B,difficile/impossible,8.948399999856946,0.0,,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,20.0,20,test,NB,drôle/hilarant,6.281099999904626,0.0,,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,21.0,25,filler-true,,pauvre/riche,3.796799999952298,,1.0,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,22.0,5,test,B,calme/inaudible,3.882200000047675,1.0,,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,23.0,39,filler-false,,fâché/raisonnable,5.117200000047688,,1.0,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,24.0,14,test,NB,vieux/ancien,5.821299999952316,0.0,,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,25.0,30,filler-true,,fermé/ouvert,3.369699999809256,,1.0,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,26.0,24,filler-true,,sale/propre,5.841400000095376,,0.0,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,27.0,43,filler-false,,poli/pressé,3.734199999809277,,0.0,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,28.0,22,test,NB,intelligent/brilliant,1.915900000095348,0.0,,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,29.0,16,test,NB,gras/obèse,0.814099999904613,0.0,,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,30.0,13,test,NB,goûteux/délicieux,2.305299999952325,0.0,,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,31.0,34,filler-false,,large/colorée,9.39730000019074,,1.0,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,32.0,4,test,B,mémorable/inoubliable,5.90909999990464,1.0,,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,33.0,40,filler-false,,cher/ennuyeuse,0.49840000009538704,,0.0,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,34.0,23,filler-true,,lent/rapide,0.694600000143054,,0.0,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,35.0,36,filler-false,,timide/curieux,2.405900000095357,,1.0,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,36.0,35,filler-false,,joli/fort,1.7920999999046212,,1.0,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,37.0,1,test,B,spéciale/unique,3.9461000001430193,1.0,,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,38.0,3,test,B,dure/insoluble,3.968799999952296,0.0,,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,39.0,33,filler-true,,actif/paresseux,2.584499999999991,,1.0,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,40.0,2,test,B,faible/vide,0.7763000001907011,1.0,,,,,,
learner,R_8itjfw6a8BuUjyQ,2025-04-23_12h40.25.691,,41.0,15,test,NB,gros/énorme,0.807400000095412,1.0,,,,,,
