group,participant,date,practice.thisTrialN,implicatures.thisTrialN,id,condition,scale_type,scale_term,respSI_RT.rt,respSI_RT.implicature,respSI_RT.corr,lexTALE.thisTrialN,word,status,respLDT.corr,respLDT.rt
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,,,,,,,,,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,,,,,,,,,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,0.0,,a,test,B,longue/interminable,16.457099999994043,0.0,,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,1.0,,b,filler-true,,proche/lointain,7.10140000000596,,1.0,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,2.0,,c,filler-false,,égoïste/petit,9.76750000000002,,1.0,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,,,,,,,,,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,0.0,12,test,NB,fatigué/épuisé,4.66129999998212,1.0,,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,1.0,15,test,NB,gros/énorme,3.44859999999403,0.0,,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,2.0,1,test,B,spéciale/unique,5.7750999999940404,0.0,,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,3.0,5,test,B,calme/inaudible,5.875,0.0,,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,4.0,9,test,B,bon/parfait,4.749100000023844,0.0,,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,5.0,32,filler-true,,froid/chaud,5.310200000017872,,1.0,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,6.0,7,test,B,triste/abattu,4.483200000017888,0.0,,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,7.0,21,test,NB,moche/hideux,4.449999999999989,0.0,,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,8.0,43,filler-false,,poli/pressé,8.170699999988074,,0.0,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,9.0,22,test,NB,intelligent/brilliant,3.323400000005961,0.0,,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,10.0,27,filler-true,,léger/lourd,2.7167000000178803,,1.0,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,11.0,33,filler-true,,actif/paresseux,7.494599999994023,,1.0,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,12.0,37,filler-false,,fou/dangereux,9.325400000005942,,1.0,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,13.0,34,filler-false,,large/colorée,3.466800000011915,,1.0,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,14.0,13,test,NB,goûteux/délicieux,2.776900000005952,0.0,,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,15.0,6,test,B,mouillé/trempé,7.21760000002385,0.0,,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,16.0,39,filler-false,,fâché/raisonnable,7.492599999994042,,0.0,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,17.0,29,filler-true,,gentil/méchant,3.00490000000596,,1.0,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,18.0,19,test,NB,mignon/beau,6.6803000000119255,0.0,,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,19.0,11,test,B,vif/éblouissant,7.359099999994044,1.0,,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,20.0,38,filler-false,,effrayant/marron,8.193900000005954,,1.0,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,21.0,31,filler-true,,noir/blanc,3.910800000011932,,1.0,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,22.0,40,filler-false,,cher/ennuyeuse,8.644599999994028,,1.0,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,23.0,4,test,B,mémorable/inoubliable,9.443200000017839,0.0,,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,24.0,3,test,B,dure/insoluble,6.376199999988103,0.0,,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,25.0,17,test,NB,a faim/affamé,11.044499999999971,0.0,,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,26.0,30,filler-true,,fermé/ouvert,4.361600000023884,,1.0,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,27.0,14,test,NB,vieux/ancien,5.460600000023874,0.0,,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,28.0,16,test,NB,gras/obèse,4.49619999998805,0.0,,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,29.0,36,filler-false,,timide/curieux,4.077799999982119,,0.0,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,30.0,35,filler-false,,joli/fort,8.775800000011941,,1.0,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,31.0,44,filler-false,,stupide/inquiet,11.752599999994004,,1.0,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,32.0,10,test,B,respectable/honorable,3.962199999988058,0.0,,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,33.0,18,test,NB,beau/sublime,12.849300000011908,1.0,,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,34.0,41,filler-false,,doux/fin,3.292500000000018,,1.0,,,,,
learner,R_8ph7poWIVUdSjte,2025-04-23_12h40.56.316,,35.0,20,test,NB,drôle/hilarant,2.860200000017869,0.0,,,,,,
