group,participant,date,practice.thisTrialN,implicatures.thisTrialN,id,condition,scale_type,scale_term,respSI_RT.rt,respSI_RT.implicature,respSI_RT.corr,lexTALE.thisTrialN,word,status,respLDT.corr,respLDT.rt
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,,,,,,,,,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,,,,,,,,,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,0.0,,c,filler-false,,égoïste/petit,4.411000000000001,,0.0,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,1.0,,b,filler-true,,proche/lointain,9.117999999999995,,1.0,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,2.0,,a,test,B,longue/interminable,6.156999999999996,0.0,,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,,,,,,,,,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,0.0,16,test,NB,gras/obèse,8.510999999999996,0.0,,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,1.0,1,test,B,spéciale/unique,6.2960000000000065,0.0,,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,2.0,12,test,NB,fatigué/épuisé,7.299999999999997,0.0,,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,3.0,4,test,B,mémorable/inoubliable,12.205000000000013,1.0,,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,4.0,43,filler-false,,poli/pressé,4.355999999999994,,1.0,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,5.0,25,filler-true,,pauvre/riche,6.724999999999994,,1.0,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,6.0,37,filler-false,,fou/dangereux,3.462999999999994,,0.0,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,7.0,35,filler-false,,joli/fort,2.325000000000017,,1.0,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,8.0,13,test,NB,goûteux/délicieux,2.647999999999996,0.0,,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,9.0,5,test,B,calme/inaudible,5.068999999999988,0.0,,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,10.0,44,filler-false,,stupide/inquiet,4.989999999999981,,0.0,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,11.0,22,test,NB,intelligent/brilliant,16.02600000000001,0.0,,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,12.0,7,test,B,triste/abattu,2.222999999999984,1.0,,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,13.0,36,filler-false,,timide/curieux,4.376000000000005,,0.0,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,14.0,27,filler-true,,léger/lourd,2.4969999999999852,,1.0,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,15.0,17,test,NB,a faim/affamé,5.075999999999993,0.0,,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,16.0,20,test,NB,drôle/hilarant,9.733000000000004,0.0,,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,17.0,29,filler-true,,gentil/méchant,2.840000000000003,,1.0,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,18.0,15,test,NB,gros/énorme,1.980999999999994,0.0,,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,19.0,23,filler-true,,lent/rapide,4.479000000000013,,0.0,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,20.0,2,test,B,faible/vide,6.555000000000007,0.0,,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,21.0,40,filler-false,,cher/ennuyeuse,5.59099999999998,,0.0,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,22.0,28,filler-true,,petit/grand,1.77600000000001,,1.0,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,23.0,33,filler-true,,actif/paresseux,2.125,,1.0,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,24.0,9,test,B,bon/parfait,3.415999999999997,0.0,,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,25.0,19,test,NB,mignon/beau,9.016999999999996,0.0,,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,26.0,34,filler-false,,large/colorée,5.618999999999971,,1.0,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,27.0,11,test,B,vif/éblouissant,11.130000000000052,0.0,,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,28.0,21,test,NB,moche/hideux,4.71999999999997,0.0,,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,29.0,31,filler-true,,noir/blanc,3.111999999999966,,1.0,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,30.0,41,filler-false,,doux/fin,10.973000000000013,,0.0,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,31.0,39,filler-false,,fâché/raisonnable,3.939999999999997,,0.0,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,32.0,42,filler-false,,jeune/sérieux,1.85899999999998,,1.0,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,33.0,38,filler-false,,effrayant/marron,17.057999999999993,,1.0,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,34.0,18,test,NB,beau/sublime,3.174000000000035,0.0,,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,35.0,24,filler-true,,sale/propre,4.093999999999994,,0.0,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,36.0,10,test,B,respectable/honorable,1.726999999999975,0.0,,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,37.0,32,filler-true,,froid/chaud,4.562999999999988,,1.0,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,38.0,30,filler-true,,fermé/ouvert,1.625,,1.0,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,39.0,6,test,B,mouillé/trempé,4.029000000000053,1.0,,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,40.0,3,test,B,dure/insoluble,2.879999999999995,0.0,,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,41.0,8,test,B,difficile/impossible,4.710999999999956,1.0,,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,42.0,14,test,NB,vieux/ancien,2.891000000000019,1.0,,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,43.0,26,filler-true,,superficiel/profond,3.273000000000024,,1.0,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,,,,,,,,,,,,,
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,,,,,,,,,0.0,bouilloire,word,1.0,3.557999999999992
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,,,,,,,,,1.0,honteur,nonword,0.0,2.805000000000007
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,,,,,,,,,2.0,semonce,word,0.0,0.9070000000000391
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,,,,,,,,,3.0,hache,word,0.0,1.146000000000015
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,,,,,,,,,4.0,fenêtre,word,1.0,0.7470000000000141
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,,,,,,,,,5.0,balai,word,0.0,0.69399999999996
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,,,,,,,,,6.0,cheveux,word,1.0,0.8039999999999731
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,,,,,,,,,7.0,alourdir,word,0.0,1.055000000000006
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,,,,,,,,,8.0,fourmi,word,0.0,1.172000000000025
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,,,,,,,,,9.0,caddie,word,0.0,0.7199999999999701
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,,,,,,,,,10.0,abêtir,word,1.0,0.6970000000000021
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,,,,,,,,,11.0,crayon,word,1.0,1.379999999999995
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,,,,,,,,,12.0,clouer,word,0.0,0.991999999999961
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,,,,,,,,,13.0,bouton,word,1.0,0.6310000000000281
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,,,,,,,,,14.0,soumon,nonword,1.0,0.7989999999999781
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,,,,,,,,,15.0,cerveler,nonword,0.0,2.348000000000013
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,,,,,,,,,16.0,huif,nonword,0.0,0.8690000000000281
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,,,,,,,,,17.0,détume,nonword,0.0,1.136999999999943
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,,,,,,,,,18.0,metter,nonword,0.0,0.6310000000000281
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,,,,,,,,,19.0,canoter,word,0.0,0.7429999999999951
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,,,,,,,,,20.0,cloche,word,0.0,0.8139999999999641
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,,,,,,,,,21.0,fosse,word,0.0,0.752999999999985
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,,,,,,,,,22.0,tanin,word,0.0,0.785000000000025
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,,,,,,,,,23.0,plaiser,nonword,0.0,0.5939999999999941
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,,,,,,,,,24.0,lanière,word,1.0,0.638999999999953
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,,,,,,,,,25.0,pouce,word,1.0,0.74799999999999
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,,,,,,,,,26.0,parchance,nonword,0.0,0.9790000000000411
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,,,,,,,,,27.0,fouet,word,1.0,0.6629999999999541
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,,,,,,,,,28.0,cintre,word,0.0,2.603000000000008
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,,,,,,,,,29.0,amadouer,word,0.0,0.795999999999992
learner,R_8qdm3pEhOHZToyG,2025-04-23_12h41.17.506,,,,,,,,,,30.0,joueux,nonword,0.0,0.680000000000006
