group,participant,date,practice.thisTrialN,implicatures.thisTrialN,id,condition,scale_type,scale_term,respSI_RT.rt,respSI_RT.implicature,respSI_RT.corr,lexTALE.thisTrialN,word,status,respLDT.corr,respLDT.rt
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,,,,,,,,,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,,,,,,,,,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,0.0,,b,filler-true,,proche/lointain,21.976000000000013,,1.0,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,1.0,,a,test,B,longue/interminable,6.864000000000004,0.0,,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,2.0,,c,filler-false,,égoïste/petit,4.317000000000007,,1.0,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,,,,,,,,,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,0.0,34,filler-false,,large/colorée,4.018000000000001,,1.0,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,1.0,25,filler-true,,pauvre/riche,7.957999999999998,,1.0,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,2.0,21,test,NB,moche/hideux,4.092000000000013,0.0,,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,3.0,42,filler-false,,jeune/sérieux,3.200000000000017,,1.0,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,4.0,37,filler-false,,fou/dangereux,4.849999999999994,,1.0,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,5.0,41,filler-false,,doux/fin,4.784999999999997,,1.0,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,6.0,9,test,B,bon/parfait,3.937000000000012,0.0,,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,7.0,38,filler-false,,effrayant/marron,5.293000000000006,,1.0,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,8.0,23,filler-true,,lent/rapide,3.183999999999997,,1.0,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,9.0,35,filler-false,,joli/fort,2.762999999999977,,1.0,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,10.0,10,test,B,respectable/honorable,3.618999999999999,0.0,,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,11.0,14,test,NB,vieux/ancien,5.6370000000000005,0.0,,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,12.0,20,test,NB,drôle/hilarant,2.806000000000011,0.0,,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,13.0,39,filler-false,,fâché/raisonnable,6.298000000000002,,1.0,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,14.0,19,test,NB,mignon/beau,3.395999999999986,0.0,,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,15.0,1,test,B,spéciale/unique,6.043999999999983,0.0,,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,16.0,6,test,B,mouillé/trempé,3.193000000000012,0.0,,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,17.0,5,test,B,calme/inaudible,2.978000000000008,0.0,,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,18.0,3,test,B,dure/insoluble,4.334000000000003,0.0,,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,19.0,44,filler-false,,stupide/inquiet,3.416000000000053,,1.0,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,20.0,24,filler-true,,sale/propre,3.200999999999965,,1.0,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,21.0,29,filler-true,,gentil/méchant,3.230000000000018,,0.0,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,22.0,28,filler-true,,petit/grand,5.3729999999999905,,1.0,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,23.0,18,test,NB,beau/sublime,4.203999999999951,0.0,,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,24.0,27,filler-true,,léger/lourd,2.404999999999972,,0.0,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,25.0,7,test,B,triste/abattu,6.062000000000012,0.0,,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,26.0,13,test,NB,goûteux/délicieux,5.240000000000009,0.0,,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,27.0,31,filler-true,,noir/blanc,3.5459999999999923,,0.0,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,28.0,43,filler-false,,poli/pressé,3.531000000000006,,0.0,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,29.0,17,test,NB,a faim/affamé,16.75200000000001,0.0,,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,30.0,2,test,B,faible/vide,2.8029999999999973,1.0,,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,31.0,4,test,B,mémorable/inoubliable,9.949999999999989,0.0,,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,32.0,22,test,NB,intelligent/brilliant,3.17900000000003,0.0,,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,33.0,36,filler-false,,timide/curieux,2.541999999999973,,1.0,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,34.0,30,filler-true,,fermé/ouvert,2.428999999999973,,1.0,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,35.0,8,test,B,difficile/impossible,7.710000000000036,1.0,,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,36.0,16,test,NB,gras/obèse,2.285000000000025,0.0,,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,37.0,26,filler-true,,superficiel/profond,4.053000000000054,,1.0,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,38.0,11,test,B,vif/éblouissant,9.180999999999983,1.0,,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,39.0,40,filler-false,,cher/ennuyeuse,2.743999999999971,,1.0,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,40.0,33,filler-true,,actif/paresseux,3.449999999999988,,0.0,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,41.0,15,test,NB,gros/énorme,8.79200000000003,1.0,,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,42.0,12,test,NB,fatigué/épuisé,2.829000000000007,1.0,,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,43.0,32,filler-true,,froid/chaud,2.381000000000028,,1.0,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,,,,,,,,,,,,,
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,,,,,,,,,0.0,amorce,word,0.0,3.939999999999997
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,,,,,,,,,1.0,agire,nonword,0.0,3.835999999999956
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,,,,,,,,,2.0,panier,word,1.0,1.281000000000006
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,,,,,,,,,3.0,écouce,nonword,1.0,1.449000000000012
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,,,,,,,,,4.0,inciter,word,1.0,1.161000000000001
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,,,,,,,,,5.0,écureuil,word,1.0,1.293000000000006
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,,,,,,,,,6.0,cintre,word,0.0,1.117000000000018
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,,,,,,,,,7.0,jamain,nonword,1.0,1.439999999999997
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,,,,,,,,,8.0,parir,nonword,1.0,1.370999999999981
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,,,,,,,,,9.0,balai,word,0.0,1.322000000000002
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,,,,,,,,,10.0,marteau,word,1.0,0.9780000000000081
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,,,,,,,,,11.0,fosse,word,0.0,0.854999999999961
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,,,,,,,,,12.0,hache,word,0.0,0.8880000000000331
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,,,,,,,,,13.0,lanière,word,1.0,3.531000000000006
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,,,,,,,,,14.0,fouet,word,0.0,0.7820000000000391
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,,,,,,,,,15.0,escroc,word,0.0,0.8799999999999951
learner,R_8rIgZFHSjMCiMho,2025-04-25_10h41.26.377,,,,,,,,,,16.0,chameau,word,1.0,1.254999999999995
