group,participant,date,practice.thisTrialN,implicatures.thisTrialN,id,condition,scale_type,scale_term,respSI_RT.rt,respSI_RT.implicature,respSI_RT.corr,lexTALE.thisTrialN,word,status,respLDT.corr,respLDT.rt
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,,,,,,,,,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,,,,,,,,,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,0.0,,b,filler-true,,proche/lointain,8.37560000000149,,1.0,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,1.0,,a,test,B,longue/interminable,10.3525,0.0,,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,2.0,,c,filler-false,,égoïste/petit,6.677599999994037,,1.0,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,,,,,,,,,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,0.0,5,test,B,calme/inaudible,14.831799999997017,1.0,,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,1.0,41,filler-false,,doux/fin,3.325399999998509,,1.0,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,2.0,2,test,B,faible/vide,2.768200000002977,0.0,,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,3.0,15,test,NB,gros/énorme,10.900399999998498,0.0,,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,4.0,11,test,B,vif/éblouissant,3.986400000005972,0.0,,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,5.0,9,test,B,bon/parfait,3.443799999997011,1.0,,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,6.0,31,filler-true,,noir/blanc,4.267499999999984,,1.0,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,7.0,18,test,NB,beau/sublime,8.584200000002966,1.0,,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,8.0,40,filler-false,,cher/ennuyeuse,2.505100000001505,,1.0,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,9.0,12,test,NB,fatigué/épuisé,8.292399999998509,1.0,,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,10.0,38,filler-false,,effrayant/marron,3.478800000004469,,1.0,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,11.0,16,test,NB,gras/obèse,5.453000000000003,1.0,,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,12.0,35,filler-false,,joli/fort,2.249399999998502,,0.0,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,13.0,22,test,NB,intelligent/brilliant,5.850899999998489,1.0,,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,14.0,24,filler-true,,sale/propre,3.134399999998521,,1.0,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,15.0,3,test,B,dure/insoluble,2.5517000000029952,0.0,,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,16.0,17,test,NB,a faim/affamé,2.81769999999554,1.0,,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,17.0,33,filler-true,,actif/paresseux,2.951700000002972,,1.0,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,18.0,10,test,B,respectable/honorable,3.646200000002977,1.0,,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,19.0,43,filler-false,,poli/pressé,2.756299999997026,,1.0,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,20.0,28,filler-true,,petit/grand,4.628799999997,,1.0,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,21.0,36,filler-false,,timide/curieux,4.295199999995532,,0.0,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,22.0,44,filler-false,,stupide/inquiet,3.400799999997019,,0.0,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,23.0,39,filler-false,,fâché/raisonnable,6.038999999999987,,0.0,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,24.0,30,filler-true,,fermé/ouvert,1.6329000000059462,,1.0,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,25.0,8,test,B,difficile/impossible,2.085800000004468,1.0,,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,26.0,1,test,B,spéciale/unique,2.61829999999702,0.0,,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,27.0,25,filler-true,,pauvre/riche,2.084200000002965,,1.0,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,28.0,19,test,NB,mignon/beau,2.724999999999966,0.0,,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,29.0,29,filler-true,,gentil/méchant,2.144300000004477,,1.0,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,30.0,26,filler-true,,superficiel/profond,2.052400000005946,,0.0,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,31.0,27,filler-true,,léger/lourd,3.495899999998528,,1.0,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,32.0,37,filler-false,,fou/dangereux,3.7673999999985313,,0.0,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,33.0,34,filler-false,,large/colorée,2.467700000002992,,1.0,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,34.0,13,test,NB,goûteux/délicieux,2.570100000001446,0.0,,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,35.0,21,test,NB,moche/hideux,3.259300000004486,0.0,,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,36.0,32,filler-true,,froid/chaud,2.420500000000004,,1.0,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,37.0,14,test,NB,vieux/ancien,3.378800000004503,1.0,,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,38.0,4,test,B,mémorable/inoubliable,2.524299999996969,1.0,,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,39.0,20,test,NB,drôle/hilarant,4.470299999996996,0.0,,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,40.0,7,test,B,triste/abattu,1.770799999997052,0.0,,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,41.0,23,filler-true,,lent/rapide,1.757000000000005,,1.0,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,42.0,6,test,B,mouillé/trempé,2.681399999998518,1.0,,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,43.0,42,filler-false,,jeune/sérieux,2.096199999995519,,1.0,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,,,,,,,,,,,,,
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,,,,,,,,,0.0,hache,word,0.0,4.068399999998519
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,,,,,,,,,1.0,nouer,word,1.0,2.543899999998473
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,,,,,,,,,2.0,procoreux,nonword,1.0,1.425399999998546
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,,,,,,,,,3.0,bouilloire,word,1.0,1.041100000001449
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,,,,,,,,,4.0,cintre,word,0.0,1.672199999995541
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,,,,,,,,,5.0,dauphin,word,1.0,1.040700000002971
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,,,,,,,,,6.0,caddie,word,0.0,1.288000000000011
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,,,,,,,,,7.0,alourdir,word,0.0,1.178200000002959
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,,,,,,,,,8.0,metter,nonword,0.0,0.80579999999702
learner,R_8rw5LuJS9Kb4FQ8,2025-04-23_12h43.15.848,,,,,,,,,,9.0,pinceau,word,1.0,1.0951000000014801
